AÑO;DISTRITO;BARRIO;Num actividades
2020;10. Latina;106. Cuatro Vientos;9
2020;10. Latina;107. Águilas;38
2020;11. Carabanchel;11. Carabanchel;
2020;11. Carabanchel;11. Carabanchel;288
2020;11. Carabanchel;111. Comillas;19
2020;11. Carabanchel;112. Opañel;37
2020;11. Carabanchel;113. San Isidro;30
2020;11. Carabanchel;114. Vista Alegre;67
2020;11. Carabanchel;115. Puerta Bonita;46
2020;11. Carabanchel;116. Buenavista;63
2020;11. Carabanchel;117. Abrantes;26
2020;12. Usera;12. Usera;
2020;12. Usera;12. Usera;143
2020;12. Usera;121. Orcasitas;24
2020;12. Usera;122. Orcasur;22
2020;12. Usera;123. San Fermín;11
2020;12. Usera;124. Almendrales;20
2020;12. Usera;125. Moscardó;30
2020;12. Usera;126. Zofío;14
2020;12. Usera;127. Pradolongo;22
2020;13. Puente de Vallecas;13. Puente de Vallecas;
2020;13. Puente de Vallecas;13. Puente de Vallecas;234
2020;13. Puente de Vallecas;131. Entrevías;32
2020;13. Puente de Vallecas;132. San Diego;35
2020;13. Puente de Vallecas;133. Palomeras Bajas;43
2020;13. Puente de Vallecas;134. Palomeras Sureste;41
2020;13. Puente de Vallecas;135. Portazgo;31
2020;13. Puente de Vallecas;136. Numancia;52
2020;14. Moratalaz;14. Moratalaz;
2020;14. Moratalaz;14. Moratalaz;124
2020;14. Moratalaz;141. Pavones;12
2020;14. Moratalaz;142. Horcajo;12
2020;14. Moratalaz;143. Marroquina;47
2020;14. Moratalaz;144. Media Legua;27
2020;14. Moratalaz;145. Fontarrón;17
2020;14. Moratalaz;146. Vinateros;9
2020;15. Ciudad Lineal;15. Ciudad Lineal;
2020;15. Ciudad Lineal;15. Ciudad Lineal;295
2020;15. Ciudad Lineal;151. Ventas;44
2020;15. Ciudad Lineal;152. Pueblo Nuevo;67
2020;15. Ciudad Lineal;153. Quintana;50
2020;15. Ciudad Lineal;154. Concepción;41
2020;15. Ciudad Lineal;155. San Pascual;32
2020;15. Ciudad Lineal;156. San Juan Bautista;20
2020;15. Ciudad Lineal;157. Colina;11
2020;15. Ciudad Lineal;158. Atalaya;4
2020;15. Ciudad Lineal;159. Costillares;26
2020;16. Hortaleza;16. Hortaleza;
2020;16. Hortaleza;16. Hortaleza;245
2020;16. Hortaleza;161. Palomas;7
2020;16. Hortaleza;162. Piovera;26
2020;16. Hortaleza;163. Canillas;90
2020;16. Hortaleza;164. Pinar del Rey;58
2020;16. Hortaleza;165. Apóstol Santiago;13
2020;16. Hortaleza;166. Valdefuentes;51
2020;17. Villaverde;17. Villaverde;
2020;17. Villaverde;17. Villaverde;158
2020;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;58
2020;17. Villaverde;172. San Cristóbal;11
2020;17. Villaverde;173. Butarque;21
2020;17. Villaverde;174. Los Rosales;37
2020;17. Villaverde;175. Ángeles;31
2020;18. Villa de Vallecas;18. Villa de Vallecas;
2020;18. Villa de Vallecas;18. Villa de Vallecas;135
2020;18. Villa de Vallecas;181. Casco Histórico de Vallecas;57
2020;18. Villa de Vallecas;182. Santa Eugenia;36
2020;18. Villa de Vallecas;183. Ensanche de Vallecas;42
2020;19. Vicálvaro;19. Vicálvaro;
2020;19. Vicálvaro;19. Vicálvaro;71
2020;19. Vicálvaro;191. Casco Histórico de Vicálvaro;42
2020;19. Vicálvaro;192. Valdebernardo;14
2020;19. Vicálvaro;193. Valderribas;11
2020;19. Vicálvaro;194. El Cañaveral;4
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;178
2020;20. San Blas-Canillejas;201. Simancas;34
2020;20. San Blas-Canillejas;202. Hellín;5
2020;20. San Blas-Canillejas;203. Amposta;4
2020;20. San Blas-Canillejas;204. Arcos;27
2020;20. San Blas-Canillejas;205. Rosas;57
2020;20. San Blas-Canillejas;206. Rejas;8
2020;20. San Blas-Canillejas;207. Canillejas;31
2020;20. San Blas-Canillejas;208. El Salvador;12
2020;21. Barajas;21. Barajas;
2020;21. Barajas;21. Barajas;66
2020;21. Barajas;211. Alameda de Osuna;26
2020;21. Barajas;212. Aeropuerto;3
2020;21. Barajas;213. Casco Histórico de Barajas;11
2020;21. Barajas;214. Timón;18
2020;21. Barajas;215. Corralejos;8
