AÑO;DISTRITO;BARRIO;A tiempo parcial;A tiempo completo;Fijo discontinuo;No consta
2019;11. Carabanchel;11. Carabanchel;25.720;58.370;1.278;4.536
2019;11. Carabanchel;111. Comillas;2.027;4.967;116;436
2019;11. Carabanchel;112. Opañel;3.406;7.530;149;656
2019;11. Carabanchel;113. San Isidro;4.044;8.751;205;593
2019;11. Carabanchel;114. Vista Alegre;5.015;9.879;240;661
2019;11. Carabanchel;115. Puerta Bonita;3.854;7.526;153;482
2019;11. Carabanchel;116. Buenavista;4.158;12.799;268;1.222
2019;11. Carabanchel;117. Abrantes;3.215;6.917;147;485
2019;12. Usera;12. Usera;;;;
2019;12. Usera;12. Usera;15.068;29.916;773;1.841
2019;12. Usera;121. Orcasitas;2.039;5.353;169;369
2019;12. Usera;122. Orcasur;1.381;2.964;79;169
2019;12. Usera;123. San Fermín;2.450;5.236;150;339
2019;12. Usera;124. Almendrales;2.431;4.576;75;291
2019;12. Usera;125. Moscardó;3.066;5.458;127;336
2019;12. Usera;126. Zofío;1.603;3.029;87;201
2019;12. Usera;127. Pradolongo;2.097;3.296;86;136
2019;13. Puente de Vallecas;13. Puente de Vallecas;;;;
2019;13. Puente de Vallecas;13. Puente de Vallecas;26.438;53.626;1.550;3.068
2019;13. Puente de Vallecas;131. Entrevías;3.842;7.217;242;297
2019;13. Puente de Vallecas;132. San Diego;5.182;9.404;196;354
2019;13. Puente de Vallecas;133. Palomeras Bajas;4.474;9.625;321;868
2019;13. Puente de Vallecas;134. Palomeras Sureste;4.620;10.484;333;644
2019;13. Puente de Vallecas;135. Portazgo;3.041;6.164;194;289
2019;13. Puente de Vallecas;136. Numancia;5.279;10.730;264;615
2019;14. Moratalaz;14. Moratalaz;;;;
2019;14. Moratalaz;14. Moratalaz;7.553;21.676;503;2.255
2019;14. Moratalaz;141. Pavones;674;2.001;58;218
2019;14. Moratalaz;142. Horcajo;442;1.742;37;262
2019;14. Moratalaz;143. Marroquina;1.950;6.431;122;800
2019;14. Moratalaz;144. Media Legua;1.397;3.789;86;394
2019;14. Moratalaz;145. Fontarrón;1.679;3.843;118;248
2019;14. Moratalaz;146. Vinateros;1.410;3.870;82;333
2019;15. Ciudad Lineal;15. Ciudad Lineal;;;;
2019;15. Ciudad Lineal;15. Ciudad Lineal;18.489;52.625;907;4.119
2019;15. Ciudad Lineal;151. Ventas;4.877;11.660;225;778
2019;15. Ciudad Lineal;152. Pueblo Nuevo;6.391;15.193;300;1.006
2019;15. Ciudad Lineal;153. Quintana;2.546;5.992;104;431
2019;15. Ciudad Lineal;154. Concepción;1.646;5.070;68;422
2019;15. Ciudad Lineal;155. San Pascual;1.149;4.440;82;393
2019;15. Ciudad Lineal;156. San Juan Bautista;532;3.122;44;302
2019;15. Ciudad Lineal;157. Colina;334;1.566;19;152
2019;15. Ciudad Lineal;158. Atalaya;46;338;2;43
2019;15. Ciudad Lineal;159. Costillares;968;5.244;63;592
2019;16. Hortaleza;16. Hortaleza;;;;
2019;16. Hortaleza;16. Hortaleza;12.010;49.471;883;3.884
2019;16. Hortaleza;161. Palomas;241;1.589;15;145
2019;16. Hortaleza;162. Piovera;541;3.577;35;334
2019;16. Hortaleza;163. Canillas;2.678;9.818;228;885
2019;16. Hortaleza;164. Pinar del Rey;4.460;12.636;358;849
2019;16. Hortaleza;165. Apóstol Santiago;1.314;3.526;79;351
2019;16. Hortaleza;166. Valdefuentes;2.776;18.325;168;1.320
2019;17. Villaverde;17. Villaverde;;;;
2019;17. Villaverde;17. Villaverde;15.440;34.562;815;2.240
2019;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;4.732;10.371;266;611
2019;17. Villaverde;172. San Cristóbal;1.850;2.970;69;74
2019;17. Villaverde;173. Butarque;1.825;5.495;86;359
2019;17. Villaverde;174. Los Rosales;4.070;8.983;242;735
2019;17. Villaverde;175. Ángeles;2.963;6.743;152;461
2019;18. Villa de Vallecas;18. Villa de Vallecas;;;;
2019;18. Villa de Vallecas;18. Villa de Vallecas;9.933;31.711;664;2.263
2019;18. Villa de Vallecas;181. Casco Histórico de Vallecas;4.183;9.166;293;460
2019;18. Villa de Vallecas;182. Santa Eugenia;2.215;6.081;170;534
2019;18. Villa de Vallecas;183. Ensanche de Vallecas;3.535;16.464;201;1.269
2019;19. Vicálvaro;19. Vicálvaro;;;;
2019;19. Vicálvaro;19. Vicálvaro;6.384;18.969;484;1.642
2019;19. Vicálvaro;191. Casco Histórico de Vicálvaro;3.736;7.747;246;351
2019;19. Vicálvaro;192. Valdebernardo;1.481;4.592;127;693
2019;19. Vicálvaro;193. Valderribas;1.057;6.022;103;568
2019;19. Vicálvaro;194. El Cañaveral;110;608;8;30
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;13.989;40.812;845;3.001
2019;20. San Blas-Canillejas;201. Simancas;2.783;7.321;134;403
2019;20. San Blas-Canillejas;202. Hellín;976;2.112;61;108
2019;20. San Blas-Canillejas;203. Amposta;957;1.871;56;79
2019;20. San Blas-Canillejas;204. Arcos;2.349;6.103;140;366
2019;20. San Blas-Canillejas;205. Rosas;2.199;9.012;198;1.045
2019;20. San Blas-Canillejas;206. Rejas;1.190;5.004;62;267
2019;20. San Blas-Canillejas;207. Canillejas;2.872;6.623;162;403
2019;20. San Blas-Canillejas;208. El Salvador;663;2.766;32;330
2019;21. Barajas;21. Barajas;;;;
2019;21. Barajas;21. Barajas;3.275;13.485;216;848
2019;21. Barajas;211. Alameda de Osuna;968;4.808;68;371
2019;21. Barajas;212. Aeropuerto;222;394;5;15
2019;21. Barajas;213. Casco Histórico de Barajas;826;2.048;51;62
2019;21. Barajas;214. Timón;963;3.972;68;229
2019;21. Barajas;215. Corralejos;296;2.263;24;171
2020;01. Centro;01. Centro;;;;
2020;01. Centro;01. Centro;9.523;35.309;561;2.998
2020;01. Centro;011. Palacio;1.420;5.660;88;602
2020;01. Centro;012. Embajadores;3.883;11.701;221;950
2020;01. Centro;013. Cortes;655;2.552;37;245
2020;01. Centro;014. Justicia;952;4.629;43;331
2020;01. Centro;015. Universidad;2.152;9.109;142;725
2020;01. Centro;016. Sol;461;1.658;30;145
2020;02. Arganzuela;02. Arganzuela;;;;
2020;02. Arganzuela;02. Arganzuela;9.408;42.058;545;5.305
2020;02. Arganzuela;021. Imperial;1.216;5.910;94;834
2020;02. Arganzuela;022. Acacias;2.024;9.371;134;1.445
2020;02. Arganzuela;023. Chopera;1.524;5.143;67;521
2020;02. Arganzuela;024. Legazpi;930;6.423;71;798
2020;02. Arganzuela;025. Delicias;1.769;7.897;90;872
2020;02. Arganzuela;026. Palos de Moguer;1.871;7.006;87;754
2020;02. Arganzuela;027. Atocha;74;308;2;81
2020;03. Retiro;03. Retiro;;;;
2020;03. Retiro;03. Retiro;5.915;28.793;312;3.484
2020;03. Retiro;031. Pacífico;1.873;8.281;98;1.047
2020;03. Retiro;032. Adelfas;963;5.146;47;597
2020;03. Retiro;033. Estrella;1.011;5.352;53;701
2020;03. Retiro;034. Ibiza;1.089;5.248;68;529
2020;03. Retiro;035. Los Jerónimos;296;1.366;8;207
2020;03. Retiro;036. Niño Jesús;683;3.400;38;403
2020;04. Salamanca;04. Salamanca;;;;
2020;04. Salamanca;04. Salamanca;6.706;36.079;302;3.356
2020;04. Salamanca;041. Recoletos;482;3.219;17;271
2020;04. Salamanca;042. Goya;1.347;7.234;58;687
2020;04. Salamanca;043. Fuente del Berro;1.209;5.522;55;543
2020;04. Salamanca;044. Guindalera;2.190;11.154;99;1.124
2020;04. Salamanca;045. Lista;909;5.162;50;436
2020;04. Salamanca;046. Castellana;569;3.788;23;295
2020;05. Chamartín;05. Chamartín;;;;
2020;05. Chamartín;05. Chamartín;6.512;37.484;336;3.193
2020;05. Chamartín;051. El Viso;578;4.125;19;324
2020;05. Chamartín;052. Prosperidad;2.035;9.786;103;929
2020;05. Chamartín;053. Ciudad Jardín;1.061;4.876;52;423
2020;05. Chamartín;054. Hispanoamérica;1.181;7.909;69;672
2020;05. Chamartín;055. Nueva España;908;6.352;44;439
2020;05. Chamartín;056. Castilla;749;4.436;49;406
2020;06. Tetuán;06. Tetuán;;;;
2020;06. Tetuán;06. Tetuán;12.931;41.980;520;3.072
2020;06. Tetuán;061. Bellas Vistas;2.756;7.322;80;577
2020;06. Tetuán;062. Cuatro Caminos;2.029;9.475;84;756
2020;06. Tetuán;063. Castillejos;1.127;5.555;49;438
2020;06. Tetuán;064. Almenara;1.966;5.699;111;382
2020;06. Tetuán;065. Valdeacederas;2.552;7.224;117;449
2020;06. Tetuán;066. Berruguete;2.501;6.705;79;470
2020;07. Chamberí;07. Chamberí;;;;
2020;07. Chamberí;07. Chamberí;6.950;35.796;307;3.548
2020;07. Chamberí;071. Gaztambide;1.199;5.678;41;724
2020;07. Chamberí;072. Arapiles;1.348;6.473;61;630
2020;07. Chamberí;073. Trafalgar;1.390;6.744;71;619
2020;07. Chamberí;074. Almagro;849;4.730;26;350
2020;07. Chamberí;075. Ríos Rosas;1.279;7.485;59;626
2020;07. Chamberí;076. Vallehermoso;885;4.686;49;599
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;14.140;63.922;885;6.187
2020;08. Fuencarral-El Pardo;081. El Pardo;217;735;13;158
2020;08. Fuencarral-El Pardo;082. Fuentelarreina;101;664;4;76
2020;08. Fuencarral-El Pardo;083. Peñagrande;2.762;10.533;172;1.145
2020;08. Fuencarral-El Pardo;084. Pilar;3.490;11.509;202;965
2020;08. Fuencarral-El Pardo;085. La Paz;1.393;7.561;88;1.033
2020;08. Fuencarral-El Pardo;086. Valverde;3.979;18.635;240;1.329
2020;08. Fuencarral-El Pardo;087. Mirasierra;1.462;8.589;115;998
2020;08. Fuencarral-El Pardo;088. El Goloso;736;5.696;51;483
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;6.293;27.523;361;3.146
2020;09. Moncloa-Aravaca;091. Casa de Campo;744;3.089;52;468
2020;09. Moncloa-Aravaca;092. Argüelles;1.200;5.542;54;631
2020;09. Moncloa-Aravaca;093. Ciudad Universitaria;681;3.544;29;478
2020;09. Moncloa-Aravaca;094. Valdezarza;2.135;6.979;152;724
2020;09. Moncloa-Aravaca;095. Valdemarín;226;1.507;2;121
2020;09. Moncloa-Aravaca;096. El Plantío;112;606;1;48
2020;09. Moncloa-Aravaca;097. Aravaca;1.195;6.256;71;676
2020;10. Latina;10. Latina;;;;
2020;10. Latina;10. Latina;20.959;53.643;1.113;4.961
2020;10. Latina;101. Los Cármenes;1.524;3.984;66;407
2020;10. Latina;102. Puerta del Ángel;3.924;9.472;205;823
2020;10. Latina;103. Lucero;3.340;8.218;160;749
2020;10. Latina;104. Aluche;5.743;14.236;280;1.250
2020;10. Latina;105. Campamento;1.737;4.262;97;348
2020;10. Latina;106. Cuatro Vientos;393;1.794;22;216
2020;10. Latina;107. Águilas;4.298;11.677;283;1.168
2020;11. Carabanchel;11. Carabanchel;;;;
2020;11. Carabanchel;11. Carabanchel;24.759;58.612;1.167;4.556
2020;11. Carabanchel;111. Comillas;2.032;4.997;107;444
2020;11. Carabanchel;112. Opañel;3.279;7.579;127;627
2020;11. Carabanchel;113. San Isidro;3.902;8.755;179;595
2020;11. Carabanchel;114. Vista Alegre;4.845;9.910;223;659
2020;11. Carabanchel;115. Puerta Bonita;3.675;7.600;135;479
2020;11. Carabanchel;116. Buenavista;3.907;12.896;255;1.270
2020;11. Carabanchel;117. Abrantes;3.119;6.875;141;482
2020;12. Usera;12. Usera;;;;
2020;12. Usera;12. Usera;14.286;29.822;687;1.862
2020;12. Usera;121. Orcasitas;1.967;5.298;160;370
2020;12. Usera;122. Orcasur;1.343;2.955;67;176
2020;12. Usera;123. San Fermín;2.310;5.208;132;340
2020;12. Usera;124. Almendrales;2.345;4.652;71;293
2020;12. Usera;125. Moscardó;2.878;5.523;108;332
2020;12. Usera;126. Zofío;1.516;2.997;81;203
2020;12. Usera;127. Pradolongo;1.927;3.189;68;148
2020;13. Puente de Vallecas;13. Puente de Vallecas;;;;
2020;13. Puente de Vallecas;13. Puente de Vallecas;24.829;53.530;1.416;3.070
2020;13. Puente de Vallecas;131. Entrevías;3.637;7.118;217;316
2020;13. Puente de Vallecas;132. San Diego;5.049;9.348;187;370
2020;13. Puente de Vallecas;133. Palomeras Bajas;4.083;9.767;269;852
2020;13. Puente de Vallecas;134. Palomeras Sureste;4.246;10.489;303;628
2020;13. Puente de Vallecas;135. Portazgo;2.796;6.116;182;294
2020;13. Puente de Vallecas;136. Numancia;5.018;10.692;258;610
2020;14. Moratalaz;14. Moratalaz;;;;
2020;14. Moratalaz;14. Moratalaz;7.191;21.803;410;2.213
2020;14. Moratalaz;141. Pavones;636;2.010;45;215
2020;14. Moratalaz;142. Horcajo;389;1.790;27;257
2020;14. Moratalaz;143. Marroquina;1.842;6.387;99;760
2020;14. Moratalaz;144. Media Legua;1.300;3.818;69;387
2020;14. Moratalaz;145. Fontarrón;1.623;3.911;97;262
2020;14. Moratalaz;146. Vinateros;1.401;3.887;73;332
2020;15. Ciudad Lineal;15. Ciudad Lineal;;;;
2020;15. Ciudad Lineal;15. Ciudad Lineal;17.488;53.099;814;4.139
2020;15. Ciudad Lineal;151. Ventas;4.644;11.801;200;832
2020;15. Ciudad Lineal;152. Pueblo Nuevo;6.187;15.167;258;985
2020;15. Ciudad Lineal;153. Quintana;2.320;6.157;102;433
2020;15. Ciudad Lineal;154. Concepción;1.534;5.109;78;420
2020;15. Ciudad Lineal;155. San Pascual;1.036;4.449;62;358
2020;15. Ciudad Lineal;156. San Juan Bautista;499;3.223;40;305
2020;15. Ciudad Lineal;157. Colina;321;1.571;17;152
2020;15. Ciudad Lineal;158. Atalaya;53;331;1;40
2020;15. Ciudad Lineal;159. Costillares;894;5.291;56;614
2020;16. Hortaleza;16. Hortaleza;;;;
2020;16. Hortaleza;16. Hortaleza;11.188;50.764;780;3.901
2020;16. Hortaleza;161. Palomas;218;1.582;14;139
2020;16. Hortaleza;162. Piovera;523;3.553;19;334
2020;16. Hortaleza;163. Canillas;2.491;9.819;187;872
2020;16. Hortaleza;164. Pinar del Rey;4.076;12.662;321;818
2020;16. Hortaleza;165. Apóstol Santiago;1.224;3.565;66;360
2020;16. Hortaleza;166. Valdefuentes;2.656;19.583;173;1.378
2020;17. Villaverde;17. Villaverde;;;;
2020;17. Villaverde;17. Villaverde;14.909;34.942;795;2.262
2020;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;4.564;10.365;246;591
2020;17. Villaverde;172. San Cristóbal;1.830;2.944;64;76
2020;17. Villaverde;173. Butarque;1.773;5.782;91;393
2020;17. Villaverde;174. Los Rosales;3.896;8.892;237;737
2020;17. Villaverde;175. Ángeles;2.846;6.959;157;465
2020;18. Villa de Vallecas;18. Villa de Vallecas;;;;
2020;18. Villa de Vallecas;18. Villa de Vallecas;9.500;32.484;648;2.356
2020;18. Villa de Vallecas;181. Casco Histórico de Vallecas;3.960;9.205;272;481
2020;18. Villa de Vallecas;182. Santa Eugenia;2.048;6.100;166;522
2020;18. Villa de Vallecas;183. Ensanche de Vallecas;3.492;17.179;210;1.353
2020;19. Vicálvaro;19. Vicálvaro;;;;
2020;19. Vicálvaro;19. Vicálvaro;6.146;19.438;424;1.671
2020;19. Vicálvaro;191. Casco Histórico de Vicálvaro;3.613;8.194;218;382
2020;19. Vicálvaro;192. Valdebernardo;1.370;4.621;107;690
2020;19. Vicálvaro;193. Valderribas;1.059;5.972;96;571
2020;19. Vicálvaro;194. El Cañaveral;104;651;3;28
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;13.054;41.001;750;3.031
2020;20. San Blas-Canillejas;201. Simancas;2.628;7.376;120;435
2020;20. San Blas-Canillejas;202. Hellín;909;2.133;54;108
2020;20. San Blas-Canillejas;203. Amposta;936;1.913;56;75
2020;20. San Blas-Canillejas;204. Arcos;2.231;6.102;126;379
2020;20. San Blas-Canillejas;205. Rosas;2.033;9.020;157;1.033
2020;20. San Blas-Canillejas;206. Rejas;1.126;5.063;58;276
2020;20. San Blas-Canillejas;207. Canillejas;2.616;6.627;149;412
2020;20. San Blas-Canillejas;208. El Salvador;575;2.767;30;313
2020;21. Barajas;21. Barajas;;;;
2020;21. Barajas;21. Barajas;3.029;13.620;195;855
2020;21. Barajas;211. Alameda de Osuna;874;4.880;60;380
2020;21. Barajas;212. Aeropuerto;218;392;5;18
2020;21. Barajas;213. Casco Histórico de Barajas;756;2.018;44;70
2020;21. Barajas;214. Timón;904;4.052;64;241
2020;21. Barajas;215. Corralejos;277;2.278;22;146
