AÑO;DISTRITO;BARRIO;Tasa migracion
2019;06. Tetuán;061. Bellas Vistas;-3,74
2019;06. Tetuán;062. Cuatro Caminos;3
2019;06. Tetuán;063. Castillejos;-1,50
2019;06. Tetuán;064. Almenara;5,33
2019;06. Tetuán;065. Valdeacederas;10,68
2019;06. Tetuán;066. Berruguete;4,04
2019;07. Chamberí;07. Chamberí;
2019;07. Chamberí;07. Chamberí;-3,17
2019;07. Chamberí;071. Gaztambide;-,39
2019;07. Chamberí;072. Arapiles;-6,33
2019;07. Chamberí;073. Trafalgar;-2,42
2019;07. Chamberí;074. Almagro;-3,40
2019;07. Chamberí;075. Ríos Rosas;-2,30
2019;07. Chamberí;076. Vallehermoso;-4,40
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;-3,14
2019;08. Fuencarral-El Pardo;081. El Pardo;5,21
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;23,41
2019;08. Fuencarral-El Pardo;083. Peñagrande;-4,08
2019;08. Fuencarral-El Pardo;084. Pilar;-5,26
2019;08. Fuencarral-El Pardo;085. La Paz;-11,10
2019;08. Fuencarral-El Pardo;086. Valverde;-6,74
2019;08. Fuencarral-El Pardo;087. Mirasierra;12,07
2019;08. Fuencarral-El Pardo;088. El Goloso;-3,27
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;3,40
2019;09. Moncloa-Aravaca;091. Casa de Campo;5,63
2019;09. Moncloa-Aravaca;092. Argüelles;4,28
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;3,38
2019;09. Moncloa-Aravaca;094. Valdezarza;-,10
2019;09. Moncloa-Aravaca;095. Valdemarín;-9,41
2019;09. Moncloa-Aravaca;096. El Plantío;44,79
2019;09. Moncloa-Aravaca;097. Aravaca;4,32
2019;10. Latina;10. Latina;
2019;10. Latina;10. Latina;2,72
2019;10. Latina;101. Los Cármenes;-,57
2019;10. Latina;102. Puerta del Ángel;1,30
2019;10. Latina;103. Lucero;5,53
2019;10. Latina;104. Aluche;5,48
2019;10. Latina;105. Campamento;1,32
2019;10. Latina;106. Cuatro Vientos;-3,06
2019;10. Latina;107. Águilas;0,60
2019;11. Carabanchel;11. Carabanchel;
2019;11. Carabanchel;11. Carabanchel;3,96
2019;11. Carabanchel;111. Comillas;0,53
2019;11. Carabanchel;112. Opañel;9,03
2019;11. Carabanchel;113. San Isidro;1,63
2019;11. Carabanchel;114. Vista Alegre;1,16
2019;11. Carabanchel;115. Puerta Bonita;11,74
2019;11. Carabanchel;116. Buenavista;5,92
2019;11. Carabanchel;117. Abrantes;-3,66
2019;12. Usera;12. Usera;
2019;12. Usera;12. Usera;6,77
2019;12. Usera;121. Orcasitas;4,28
2019;12. Usera;122. Orcasur;6,22
2019;12. Usera;123. San Fermín;0
2019;12. Usera;124. Almendrales;24,25
2019;12. Usera;125. Moscardó;-3,80
2019;12. Usera;126. Zofío;7,10
2019;12. Usera;127. Pradolongo;13,26
2019;13. Puente de Vallecas;13. Puente de Vallecas;
2019;13. Puente de Vallecas;13. Puente de Vallecas;1,66
2019;13. Puente de Vallecas;131. Entrevías;3,05
2019;13. Puente de Vallecas;132. San Diego;2,19
2019;13. Puente de Vallecas;133. Palomeras Bajas;-3,42
2019;13. Puente de Vallecas;134. Palomeras Sureste;2,16
2019;13. Puente de Vallecas;135. Portazgo;1,18
2019;13. Puente de Vallecas;136. Numancia;4,27
2019;14. Moratalaz;14. Moratalaz;
2019;14. Moratalaz;14. Moratalaz;-8,09
2019;14. Moratalaz;141. Pavones;-32,30
2019;14. Moratalaz;142. Horcajo;-6,72
2019;14. Moratalaz;143. Marroquina;-10,58
2019;14. Moratalaz;144. Media Legua;-6,07
2019;14. Moratalaz;145. Fontarrón;0,69
2019;14. Moratalaz;146. Vinateros;-2,71
2019;15. Ciudad Lineal;15. Ciudad Lineal;
2019;15. Ciudad Lineal;15. Ciudad Lineal;-2,90
2019;15. Ciudad Lineal;151. Ventas;2,38
2019;15. Ciudad Lineal;152. Pueblo Nuevo;-2,31
2019;15. Ciudad Lineal;153. Quintana;-4,94
2019;15. Ciudad Lineal;154. Concepción;-4,63
2019;15. Ciudad Lineal;155. San Pascual;-5,07
2019;15. Ciudad Lineal;156. San Juan Bautista;-11,19
2019;15. Ciudad Lineal;157. Colina;-14,74
2019;15. Ciudad Lineal;158. Atalaya;6,38
2019;15. Ciudad Lineal;159. Costillares;-2,98
2019;16. Hortaleza;16. Hortaleza;
2019;16. Hortaleza;16. Hortaleza;3,64
2019;16. Hortaleza;161. Palomas;10,49
2019;16. Hortaleza;162. Piovera;-4,10
2019;16. Hortaleza;163. Canillas;-4,07
2019;16. Hortaleza;164. Pinar del Rey;-1,63
2019;16. Hortaleza;165. Apóstol Santiago;0,32
2019;16. Hortaleza;166. Valdefuentes;15
2019;17. Villaverde;17. Villaverde;
2019;17. Villaverde;17. Villaverde;10,22
2019;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;6,90
2019;17. Villaverde;172. San Cristóbal;12,69
2019;17. Villaverde;173. Butarque;31,36
2019;17. Villaverde;174. Los Rosales;-2,87
2019;17. Villaverde;175. Ángeles;15,73
2019;18. Villa de Vallecas;18. Villa de Vallecas;
2019;18. Villa de Vallecas;18. Villa de Vallecas;3,89
2019;18. Villa de Vallecas;181. Casco Histórico de Vallecas;-8,37
2019;18. Villa de Vallecas;182. Santa Eugenia;-6,62
2019;18. Villa de Vallecas;183. Ensanche de Vallecas;19,14
2019;19. Vicálvaro;19. Vicálvaro;
2019;19. Vicálvaro;19. Vicálvaro;23,19
2019;19. Vicálvaro;191. Casco Histórico de Vicálvaro;5,45
2019;19. Vicálvaro;192. Valdebernardo;-9,89
2019;19. Vicálvaro;193. Valderribas;-11,74
2019;19. Vicálvaro;194. El Cañaveral;564,44
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;2,10
2019;20. San Blas-Canillejas;201. Simancas;0
2019;20. San Blas-Canillejas;202. Hellín;23,74
2019;20. San Blas-Canillejas;203. Amposta;10,70
2019;20. San Blas-Canillejas;204. Arcos;11,31
2019;20. San Blas-Canillejas;205. Rosas;-6,19
2019;20. San Blas-Canillejas;206. Rejas;-7,91
2019;20. San Blas-Canillejas;207. Canillejas;3
2019;20. San Blas-Canillejas;208. El Salvador;-,96
2019;21. Barajas;21. Barajas;
2019;21. Barajas;21. Barajas;3,46
2019;21. Barajas;211. Alameda de Osuna;-4,41
2019;21. Barajas;212. Aeropuerto;9,43
2019;21. Barajas;213. Casco Histórico de Barajas;-16,46
2019;21. Barajas;214. Timón;31,39
2019;21. Barajas;215. Corralejos;-5,71
