AÑO;DISTRITO;BARRIO;Num vecinos dejan el barrio
2018;07. Chamberí;074. Almagro;1.329
2018;07. Chamberí;075. Ríos Rosas;1.711
2018;07. Chamberí;076. Vallehermoso;991
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;11.413
2018;08. Fuencarral-El Pardo;081. El Pardo;145
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;135
2018;08. Fuencarral-El Pardo;083. Peñagrande;1.795
2018;08. Fuencarral-El Pardo;084. Pilar;2.409
2018;08. Fuencarral-El Pardo;085. La Paz;1.163
2018;08. Fuencarral-El Pardo;086. Valverde;3.250
2018;08. Fuencarral-El Pardo;087. Mirasierra;1.406
2018;08. Fuencarral-El Pardo;088. El Goloso;1.110
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;5.554
2018;09. Moncloa-Aravaca;091. Casa de Campo;541
2018;09. Moncloa-Aravaca;092. Argüelles;1.456
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;807
2018;09. Moncloa-Aravaca;094. Valdezarza;1.440
2018;09. Moncloa-Aravaca;095. Valdemarín;356
2018;09. Moncloa-Aravaca;096. El Plantío;70
2018;09. Moncloa-Aravaca;097. Aravaca;884
2018;10. Latina;10. Latina;
2018;10. Latina;10. Latina;11.968
2018;10. Latina;101. Los Cármenes;915
2018;10. Latina;102. Puerta del Ángel;2.716
2018;10. Latina;103. Lucero;1.940
2018;10. Latina;104. Aluche;3.140
2018;10. Latina;105. Campamento;1.152
2018;10. Latina;106. Cuatro Vientos;236
2018;10. Latina;107. Águilas;1.869
2018;11. Carabanchel;11. Carabanchel;
2018;11. Carabanchel;11. Carabanchel;15.980
2018;11. Carabanchel;111. Comillas;1.434
2018;11. Carabanchel;112. Opañel;2.232
2018;11. Carabanchel;113. San Isidro;2.639
2018;11. Carabanchel;114. Vista Alegre;3.064
2018;11. Carabanchel;115. Puerta Bonita;2.446
2018;11. Carabanchel;116. Buenavista;2.167
2018;11. Carabanchel;117. Abrantes;1.998
2018;12. Usera;12. Usera;
2018;12. Usera;12. Usera;9.055
2018;12. Usera;121. Orcasitas;781
2018;12. Usera;122. Orcasur;687
2018;12. Usera;123. San Fermín;1.277
2018;12. Usera;124. Almendrales;1.804
2018;12. Usera;125. Moscardó;2.144
2018;12. Usera;126. Zofío;1.015
2018;12. Usera;127. Pradolongo;1.347
2018;13. Puente de Vallecas;13. Puente de Vallecas;
2018;13. Puente de Vallecas;13. Puente de Vallecas;15.021
2018;13. Puente de Vallecas;131. Entrevías;1.910
2018;13. Puente de Vallecas;132. San Diego;4.239
2018;13. Puente de Vallecas;133. Palomeras Bajas;2.086
2018;13. Puente de Vallecas;134. Palomeras Sureste;1.934
2018;13. Puente de Vallecas;135. Portazgo;1.536
2018;13. Puente de Vallecas;136. Numancia;3.316
2018;14. Moratalaz;14. Moratalaz;
2018;14. Moratalaz;14. Moratalaz;3.822
2018;14. Moratalaz;141. Pavones;323
2018;14. Moratalaz;142. Horcajo;198
2018;14. Moratalaz;143. Marroquina;957
2018;14. Moratalaz;144. Media Legua;803
2018;14. Moratalaz;145. Fontarrón;857
2018;14. Moratalaz;146. Vinateros;684
2018;15. Ciudad Lineal;15. Ciudad Lineal;
2018;15. Ciudad Lineal;15. Ciudad Lineal;12.319
2018;15. Ciudad Lineal;151. Ventas;2.887
2018;15. Ciudad Lineal;152. Pueblo Nuevo;3.951
2018;15. Ciudad Lineal;153. Quintana;1.547
2018;15. Ciudad Lineal;154. Concepción;1.137
2018;15. Ciudad Lineal;155. San Pascual;739
2018;15. Ciudad Lineal;156. San Juan Bautista;618
2018;15. Ciudad Lineal;157. Colina;395
2018;15. Ciudad Lineal;158. Atalaya;87
2018;15. Ciudad Lineal;159. Costillares;958
2018;16. Hortaleza;16. Hortaleza;
2018;16. Hortaleza;16. Hortaleza;8.257
2018;16. Hortaleza;161. Palomas;258
2018;16. Hortaleza;162. Piovera;791
2018;16. Hortaleza;163. Canillas;1.720
2018;16. Hortaleza;164. Pinar del Rey;2.351
2018;16. Hortaleza;165. Apóstol Santiago;629
2018;16. Hortaleza;166. Valdefuentes;2.508
2018;17. Villaverde;17. Villaverde;
2018;17. Villaverde;17. Villaverde;8.462
2018;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;2.392
2018;17. Villaverde;172. San Cristóbal;1.313
2018;17. Villaverde;173. Butarque;955
2018;17. Villaverde;174. Los Rosales;2.049
2018;17. Villaverde;175. Ángeles;1.753
2018;18. Villa de Vallecas;18. Villa de Vallecas;
2018;18. Villa de Vallecas;18. Villa de Vallecas;5.710
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;2.475
2018;18. Villa de Vallecas;182. Santa Eugenia;749
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;2.486
2018;19. Vicálvaro;19. Vicálvaro;
2018;19. Vicálvaro;19. Vicálvaro;2.780
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;1.626
2018;19. Vicálvaro;192. Valdebernardo;615
2018;19. Vicálvaro;193. Valderribas;502
2018;19. Vicálvaro;194. El Cañaveral;37
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;8.243
2018;20. San Blas-Canillejas;201. Simancas;1.857
2018;20. San Blas-Canillejas;202. Hellín;481
2018;20. San Blas-Canillejas;203. Amposta;629
2018;20. San Blas-Canillejas;204. Arcos;1.103
2018;20. San Blas-Canillejas;205. Rosas;1.035
2018;20. San Blas-Canillejas;206. Rejas;1.218
2018;20. San Blas-Canillejas;207. Canillejas;1.491
2018;20. San Blas-Canillejas;208. El Salvador;429
2018;21. Barajas;21. Barajas;
2018;21. Barajas;21. Barajas;2.193
2018;21. Barajas;211. Alameda de Osuna;696
2018;21. Barajas;212. Aeropuerto;71
2018;21. Barajas;213. Casco Histórico de Barajas;491
2018;21. Barajas;214. Timón;549
2018;21. Barajas;215. Corralejos;386
