AÑO;DISTRITO;BARRIO;Servicios de alojamiento;Servicios de comidas y bebidas
2020;05. Chamartín;053. Ciudad Jardín;4;161
2020;05. Chamartín;054. Hispanoamérica;5;248
2020;05. Chamartín;055. Nueva España;7;164
2020;05. Chamartín;056. Castilla;7;99
2020;06. Tetuán;06. Tetuán;;
2020;06. Tetuán;06. Tetuán;52;974
2020;06. Tetuán;061. Bellas Vistas;10;135
2020;06. Tetuán;062. Cuatro Caminos;19;342
2020;06. Tetuán;063. Castillejos;9;219
2020;06. Tetuán;064. Almenara;8;93
2020;06. Tetuán;065. Valdeacederas;3;90
2020;06. Tetuán;066. Berruguete;3;95
2020;07. Chamberí;07. Chamberí;;
2020;07. Chamberí;07. Chamberí;70;1.426
2020;07. Chamberí;071. Gaztambide;14;235
2020;07. Chamberí;072. Arapiles;5;209
2020;07. Chamberí;073. Trafalgar;15;306
2020;07. Chamberí;074. Almagro;8;251
2020;07. Chamberí;075. Ríos Rosas;11;284
2020;07. Chamberí;076. Vallehermoso;17;141
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;27;1.000
2020;08. Fuencarral-El Pardo;081. El Pardo;0;41
2020;08. Fuencarral-El Pardo;082. Fuentelarreina;1;3
2020;08. Fuencarral-El Pardo;083. Peñagrande;0;129
2020;08. Fuencarral-El Pardo;084. Pilar;3;243
2020;08. Fuencarral-El Pardo;085. La Paz;2;103
2020;08. Fuencarral-El Pardo;086. Valverde;17;303
2020;08. Fuencarral-El Pardo;087. Mirasierra;1;76
2020;08. Fuencarral-El Pardo;088. El Goloso;3;102
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;73;852
2020;09. Moncloa-Aravaca;091. Casa de Campo;4;145
2020;09. Moncloa-Aravaca;092. Argüelles;20;253
2020;09. Moncloa-Aravaca;093. Ciudad Universitaria;37;209
2020;09. Moncloa-Aravaca;094. Valdezarza;1;79
2020;09. Moncloa-Aravaca;095. Valdemarín;6;42
2020;09. Moncloa-Aravaca;096. El Plantío;2;39
2020;09. Moncloa-Aravaca;097. Aravaca;3;85
2020;10. Latina;10. Latina;;
2020;10. Latina;10. Latina;16;950
2020;10. Latina;101. Los Cármenes;2;60
2020;10. Latina;102. Puerta del Ángel;9;209
2020;10. Latina;103. Lucero;2;136
2020;10. Latina;104. Aluche;3;300
2020;10. Latina;105. Campamento;0;60
2020;10. Latina;106. Cuatro Vientos;0;17
2020;10. Latina;107. Águilas;0;168
2020;11. Carabanchel;11. Carabanchel;;
2020;11. Carabanchel;11. Carabanchel;16;1.189
2020;11. Carabanchel;111. Comillas;3;108
2020;11. Carabanchel;112. Opañel;1;169
2020;11. Carabanchel;113. San Isidro;2;158
2020;11. Carabanchel;114. Vista Alegre;5;300
2020;11. Carabanchel;115. Puerta Bonita;2;120
2020;11. Carabanchel;116. Buenavista;1;215
2020;11. Carabanchel;117. Abrantes;2;119
2020;12. Usera;12. Usera;;
2020;12. Usera;12. Usera;13;669
2020;12. Usera;121. Orcasitas;4;67
2020;12. Usera;122. Orcasur;0;47
2020;12. Usera;123. San Fermín;2;81
2020;12. Usera;124. Almendrales;3;126
2020;12. Usera;125. Moscardó;3;177
2020;12. Usera;126. Zofío;1;53
2020;12. Usera;127. Pradolongo;0;118
2020;13. Puente de Vallecas;13. Puente de Vallecas;;
2020;13. Puente de Vallecas;13. Puente de Vallecas;11;956
2020;13. Puente de Vallecas;131. Entrevías;1;153
2020;13. Puente de Vallecas;132. San Diego;4;222
2020;13. Puente de Vallecas;133. Palomeras Bajas;0;120
2020;13. Puente de Vallecas;134. Palomeras Sureste;3;149
2020;13. Puente de Vallecas;135. Portazgo;1;126
2020;13. Puente de Vallecas;136. Numancia;2;186
2020;14. Moratalaz;14. Moratalaz;;
2020;14. Moratalaz;14. Moratalaz;0;299
2020;14. Moratalaz;141. Pavones;0;32
2020;14. Moratalaz;142. Horcajo;0;12
2020;14. Moratalaz;143. Marroquina;0;122
2020;14. Moratalaz;144. Media Legua;0;56
2020;14. Moratalaz;145. Fontarrón;0;42
2020;14. Moratalaz;146. Vinateros;0;35
2020;15. Ciudad Lineal;15. Ciudad Lineal;;
2020;15. Ciudad Lineal;15. Ciudad Lineal;26;1.074
2020;15. Ciudad Lineal;151. Ventas;2;196
2020;15. Ciudad Lineal;152. Pueblo Nuevo;6;285
2020;15. Ciudad Lineal;153. Quintana;2;159
2020;15. Ciudad Lineal;154. Concepción;5;154
2020;15. Ciudad Lineal;155. San Pascual;3;93
2020;15. Ciudad Lineal;156. San Juan Bautista;1;73
2020;15. Ciudad Lineal;157. Colina;3;31
2020;15. Ciudad Lineal;158. Atalaya;0;5
2020;15. Ciudad Lineal;159. Costillares;4;78
2020;16. Hortaleza;16. Hortaleza;;
2020;16. Hortaleza;16. Hortaleza;13;677
2020;16. Hortaleza;161. Palomas;2;27
2020;16. Hortaleza;162. Piovera;2;63
2020;16. Hortaleza;163. Canillas;2;195
2020;16. Hortaleza;164. Pinar del Rey;5;194
2020;16. Hortaleza;165. Apóstol Santiago;0;41
2020;16. Hortaleza;166. Valdefuentes;2;157
2020;17. Villaverde;17. Villaverde;;
2020;17. Villaverde;17. Villaverde;5;546
2020;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;4;193
2020;17. Villaverde;172. San Cristóbal;0;56
2020;17. Villaverde;173. Butarque;1;56
2020;17. Villaverde;174. Los Rosales;0;132
2020;17. Villaverde;175. Ángeles;0;109
2020;18. Villa de Vallecas;18. Villa de Vallecas;;
2020;18. Villa de Vallecas;18. Villa de Vallecas;10;422
2020;18. Villa de Vallecas;181. Casco Histórico de Vallecas;10;221
2020;18. Villa de Vallecas;182. Santa Eugenia;0;71
2020;18. Villa de Vallecas;183. Ensanche de Vallecas;0;130
2020;19. Vicálvaro;19. Vicálvaro;;
2020;19. Vicálvaro;19. Vicálvaro;2;218
2020;19. Vicálvaro;191. Casco Histórico de Vicálvaro;2;142
2020;19. Vicálvaro;192. Valdebernardo;0;46
2020;19. Vicálvaro;193. Valderribas;0;19
2020;19. Vicálvaro;194. El Cañaveral;0;11
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;;
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;27;841
2020;20. San Blas-Canillejas;201. Simancas;8;208
2020;20. San Blas-Canillejas;202. Hellín;0;12
2020;20. San Blas-Canillejas;203. Amposta;2;35
2020;20. San Blas-Canillejas;204. Arcos;0;66
2020;20. San Blas-Canillejas;205. Rosas;0;230
2020;20. San Blas-Canillejas;206. Rejas;15;92
2020;20. San Blas-Canillejas;207. Canillejas;1;144
2020;20. San Blas-Canillejas;208. El Salvador;1;54
2020;21. Barajas;21. Barajas;;
2020;21. Barajas;21. Barajas;32;363
2020;21. Barajas;211. Alameda de Osuna;5;64
2020;21. Barajas;212. Aeropuerto;3;97
2020;21. Barajas;213. Casco Histórico de Barajas;16;66
2020;21. Barajas;214. Timón;4;57
2020;21. Barajas;215. Corralejos;4;79
