AÑO;DISTRITO;BARRIO;Puntos Aparca-bici
2020;10. Latina;106. Cuatro Vientos;1
2020;10. Latina;107. Águilas;13
2020;11. Carabanchel;11. Carabanchel;
2020;11. Carabanchel;11. Carabanchel;40
2020;11. Carabanchel;111. Comillas;1
2020;11. Carabanchel;112. Opañel;5
2020;11. Carabanchel;113. San Isidro;3
2020;11. Carabanchel;114. Vista Alegre;3
2020;11. Carabanchel;115. Puerta Bonita;6
2020;11. Carabanchel;116. Buenavista;17
2020;11. Carabanchel;117. Abrantes;5
2020;12. Usera;12. Usera;
2020;12. Usera;12. Usera;45
2020;12. Usera;121. Orcasitas;9
2020;12. Usera;122. Orcasur;7
2020;12. Usera;123. San Fermín;5
2020;12. Usera;124. Almendrales;2
2020;12. Usera;125. Moscardó;9
2020;12. Usera;126. Zofío;5
2020;12. Usera;127. Pradolongo;8
2020;13. Puente de Vallecas;13. Puente de Vallecas;
2020;13. Puente de Vallecas;13. Puente de Vallecas;47
2020;13. Puente de Vallecas;131. Entrevías;8
2020;13. Puente de Vallecas;132. San Diego;7
2020;13. Puente de Vallecas;133. Palomeras Bajas;12
2020;13. Puente de Vallecas;134. Palomeras Sureste;10
2020;13. Puente de Vallecas;135. Portazgo;3
2020;13. Puente de Vallecas;136. Numancia;7
2020;14. Moratalaz;14. Moratalaz;
2020;14. Moratalaz;14. Moratalaz;38
2020;14. Moratalaz;141. Pavones;11
2020;14. Moratalaz;142. Horcajo;2
2020;14. Moratalaz;143. Marroquina;7
2020;14. Moratalaz;144. Media Legua;9
2020;14. Moratalaz;145. Fontarrón;4
2020;14. Moratalaz;146. Vinateros;5
2020;15. Ciudad Lineal;15. Ciudad Lineal;
2020;15. Ciudad Lineal;15. Ciudad Lineal;53
2020;15. Ciudad Lineal;151. Ventas;7
2020;15. Ciudad Lineal;152. Pueblo Nuevo;14
2020;15. Ciudad Lineal;153. Quintana;4
2020;15. Ciudad Lineal;154. Concepción;8
2020;15. Ciudad Lineal;155. San Pascual;9
2020;15. Ciudad Lineal;156. San Juan Bautista;7
2020;15. Ciudad Lineal;157. Colina;1
2020;15. Ciudad Lineal;158. Atalaya;0
2020;15. Ciudad Lineal;159. Costillares;3
2020;16. Hortaleza;16. Hortaleza;
2020;16. Hortaleza;16. Hortaleza;119
2020;16. Hortaleza;161. Palomas;7
2020;16. Hortaleza;162. Piovera;3
2020;16. Hortaleza;163. Canillas;20
2020;16. Hortaleza;164. Pinar del Rey;14
2020;16. Hortaleza;165. Apóstol Santiago;6
2020;16. Hortaleza;166. Valdefuentes;69
2020;17. Villaverde;17. Villaverde;
2020;17. Villaverde;17. Villaverde;55
2020;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;18
2020;17. Villaverde;172. San Cristóbal;3
2020;17. Villaverde;173. Butarque;6
2020;17. Villaverde;174. Los Rosales;12
2020;17. Villaverde;175. Ángeles;16
2020;18. Villa de Vallecas;18. Villa de Vallecas;
2020;18. Villa de Vallecas;18. Villa de Vallecas;47
2020;18. Villa de Vallecas;181. Casco Histórico de Vallecas;24
2020;18. Villa de Vallecas;182. Santa Eugenia;16
2020;18. Villa de Vallecas;183. Ensanche de Vallecas;7
2020;19. Vicálvaro;19. Vicálvaro;
2020;19. Vicálvaro;19. Vicálvaro;25
2020;19. Vicálvaro;191. Casco Histórico de Vicálvaro;14
2020;19. Vicálvaro;192. Valdebernardo;8
2020;19. Vicálvaro;193. Valderribas;3
2020;19. Vicálvaro;194. El Cañaveral;0
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;66
2020;20. San Blas-Canillejas;201. Simancas;7
2020;20. San Blas-Canillejas;202. Hellín;2
2020;20. San Blas-Canillejas;203. Amposta;3
2020;20. San Blas-Canillejas;204. Arcos;10
2020;20. San Blas-Canillejas;205. Rosas;12
2020;20. San Blas-Canillejas;206. Rejas;13
2020;20. San Blas-Canillejas;207. Canillejas;8
2020;20. San Blas-Canillejas;208. El Salvador;11
2020;21. Barajas;21. Barajas;
2020;21. Barajas;21. Barajas;42
2020;21. Barajas;211. Alameda de Osuna;10
2020;21. Barajas;212. Aeropuerto;2
2020;21. Barajas;213. Casco Histórico de Barajas;2
2020;21. Barajas;214. Timón;21
2020;21. Barajas;215. Corralejos;7
