AÑO;DISTRITO;BARRIO;Precio Vivienda
2020;07. Chamberí;07. Chamberí;5.283
2020;07. Chamberí;071. Gaztambide;4.706
2020;07. Chamberí;072. Arapiles;4.991
2020;07. Chamberí;073. Trafalgar;5.543
2020;07. Chamberí;074. Almagro;6.462
2020;07. Chamberí;075. Ríos Rosas;5.143
2020;07. Chamberí;076. Vallehermoso;4.950
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;3.491
2020;08. Fuencarral-El Pardo;081. El Pardo;-
2020;08. Fuencarral-El Pardo;082. Fuentelarreina;3.349
2020;08. Fuencarral-El Pardo;083. Peñagrande;3.495
2020;08. Fuencarral-El Pardo;084. Pilar;3.145
2020;08. Fuencarral-El Pardo;085. La Paz;3.562
2020;08. Fuencarral-El Pardo;086. Valverde;-
2020;08. Fuencarral-El Pardo;087. Mirasierra;3.600
2020;08. Fuencarral-El Pardo;088. El Goloso;-
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;3.912
2020;09. Moncloa-Aravaca;091. Casa de Campo;3.590
2020;09. Moncloa-Aravaca;092. Argüelles;4.777
2020;09. Moncloa-Aravaca;093. Ciudad Universitaria;3.787
2020;09. Moncloa-Aravaca;094. Valdezarza;2.976
2020;09. Moncloa-Aravaca;095. Valdemarín;4.162
2020;09. Moncloa-Aravaca;096. El Plantío;2.613
2020;09. Moncloa-Aravaca;097. Aravaca;3.559
2020;10. Latina;10. Latina;
2020;10. Latina;10. Latina;2.246
2020;10. Latina;101. Los Cármenes;2.350
2020;10. Latina;102. Puerta del Ángel;2.607
2020;10. Latina;103. Lucero;2.148
2020;10. Latina;104. Aluche;2.164
2020;10. Latina;105. Campamento;2.077
2020;10. Latina;106. Cuatro Vientos;-
2020;10. Latina;107. Águilas;2.133
2020;11. Carabanchel;11. Carabanchel;
2020;11. Carabanchel;11. Carabanchel;2.165
2020;11. Carabanchel;111. Comillas;2.592
2020;11. Carabanchel;112. Opañel;2.268
2020;11. Carabanchel;113. San Isidro;2.225
2020;11. Carabanchel;114. Vista Alegre;2.054
2020;11. Carabanchel;115. Puerta Bonita;1.945
2020;11. Carabanchel;116. Buenavista;1.999
2020;11. Carabanchel;117. Abrantes;1.925
2020;12. Usera;12. Usera;
2020;12. Usera;12. Usera;1.942
2020;12. Usera;121. Orcasitas;1.626
2020;12. Usera;122. Orcasur;1.676
2020;12. Usera;123. San Fermín;1.723
2020;12. Usera;124. Almendrales;1.927
2020;12. Usera;125. Moscardó;2.102
2020;12. Usera;126. Zofío;1.979
2020;12. Usera;127. Pradolongo;2.004
2020;13. Puente de Vallecas;13. Puente de Vallecas;
2020;13. Puente de Vallecas;13. Puente de Vallecas;1.887
2020;13. Puente de Vallecas;131. Entrevías;1.500
2020;13. Puente de Vallecas;132. San Diego;1.874
2020;13. Puente de Vallecas;133. Palomeras Bajas;1.934
2020;13. Puente de Vallecas;134. Palomeras Sureste;1.963
2020;13. Puente de Vallecas;135. Portazgo;1.856
2020;13. Puente de Vallecas;136. Numancia;1.983
2020;14. Moratalaz;14. Moratalaz;
2020;14. Moratalaz;14. Moratalaz;2.569
2020;14. Moratalaz;141. Pavones;2.178
2020;14. Moratalaz;142. Horcajo;-
2020;14. Moratalaz;143. Marroquina;2.917
2020;14. Moratalaz;144. Media Legua;2.685
2020;14. Moratalaz;145. Fontarrón;2.146
2020;14. Moratalaz;146. Vinateros;2.462
2020;15. Ciudad Lineal;15. Ciudad Lineal;
2020;15. Ciudad Lineal;15. Ciudad Lineal;2.912
2020;15. Ciudad Lineal;151. Ventas;2.644
2020;15. Ciudad Lineal;152. Pueblo Nuevo;2.445
2020;15. Ciudad Lineal;153. Quintana;2.916
2020;15. Ciudad Lineal;154. Concepción;2.819
2020;15. Ciudad Lineal;155. San Pascual;3.318
2020;15. Ciudad Lineal;156. San Juan Bautista;4.221
2020;15. Ciudad Lineal;157. Colina;4.344
2020;15. Ciudad Lineal;158. Atalaya;2.756
2020;15. Ciudad Lineal;159. Costillares;4.103
2020;16. Hortaleza;16. Hortaleza;
2020;16. Hortaleza;16. Hortaleza;3.668
2020;16. Hortaleza;161. Palomas;3.736
2020;16. Hortaleza;162. Piovera;4.259
2020;16. Hortaleza;163. Canillas;3.227
2020;16. Hortaleza;164. Pinar del Rey;2.799
2020;16. Hortaleza;165. Apóstol Santiago;2.770
2020;16. Hortaleza;166. Valdefuentes;-
2020;17. Villaverde;17. Villaverde;
2020;17. Villaverde;17. Villaverde;1.706
2020;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;1.599
2020;17. Villaverde;172. San Cristóbal;1.338
2020;17. Villaverde;173. Butarque;2.084
2020;17. Villaverde;174. Los Rosales;1.854
2020;17. Villaverde;175. Ángeles;1.757
2020;18. Villa de Vallecas;18. Villa de Vallecas;
2020;18. Villa de Vallecas;18. Villa de Vallecas;2.384
2020;18. Villa de Vallecas;181. Casco Histórico de Vallecas;1.900
2020;18. Villa de Vallecas;182. Santa Eugenia;2.115
2020;18. Villa de Vallecas;183. Ensanche de Vallecas;
2020;19. Vicálvaro;19. Vicálvaro;
2020;19. Vicálvaro;19. Vicálvaro;2.318
2020;19. Vicálvaro;191. Casco Histórico de Vicálvaro;2.067
2020;19. Vicálvaro;192. Valdebernardo;2.027
2020;19. Vicálvaro;193. Valderribas;
2020;19. Vicálvaro;194. El Cañaveral;2.558
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;2.632
2020;20. San Blas-Canillejas;201. Simancas;1.904
2020;20. San Blas-Canillejas;202. Hellín;1.880
2020;20. San Blas-Canillejas;203. Amposta;2.181
2020;20. San Blas-Canillejas;204. Arcos;2.942
2020;20. San Blas-Canillejas;205. Rosas;3.069
2020;20. San Blas-Canillejas;206. Rejas;2.352
2020;20. San Blas-Canillejas;207. Canillejas;3.422
2020;20. San Blas-Canillejas;208. El Salvador;
2020;21. Barajas;21. Barajas;
2020;21. Barajas;21. Barajas;3.147
2020;21. Barajas;211. Alameda de Osuna;3.376
2020;21. Barajas;212. Aeropuerto;-
2020;21. Barajas;213. Casco Histórico de Barajas;2.749
2020;21. Barajas;214. Timón;3.013
2020;21. Barajas;215. Corralejos;3.454
