AÑO;DISTRITO;BARRIO;Agricultura;Industria;Construcción;Servicios;Otros
2019;09. Moncloa-Aravaca;097. Aravaca;23;448;326;9.674;1
2019;10. Latina;10. Latina;;;;;
2019;10. Latina;10. Latina;80;3.694;4.582;82.213;75
2019;10. Latina;101. Los Cármenes;13;298;381;6.081;6
2019;10. Latina;102. Puerta del Ángel;14;596;768;15.231;19
2019;10. Latina;103. Lucero;6;545;793;12.688;14
2019;10. Latina;104. Aluche;21;964;1.214;21.809;17
2019;10. Latina;105. Campamento;7;245;361;6.400;9
2019;10. Latina;106. Cuatro Vientos;3;142;115;2.476;1
2019;10. Latina;107. Águilas;16;904;950;17.525;9
2019;11. Carabanchel;11. Carabanchel;;;;;
2019;11. Carabanchel;11. Carabanchel;80;4.355;5.974;89.568;71
2019;11. Carabanchel;111. Comillas;9;323;398;7.794;5
2019;11. Carabanchel;112. Opañel;12;583;649;11.868;12
2019;11. Carabanchel;113. San Isidro;12;612;903;13.637;15
2019;11. Carabanchel;114. Vista Alegre;8;652;1.144;15.622;12
2019;11. Carabanchel;115. Puerta Bonita;19;594;916;11.715;13
2019;11. Carabanchel;116. Buenavista;14;1.079;1.151;18.297;6
2019;11. Carabanchel;117. Abrantes;6;512;813;10.632;8
2019;12. Usera;12. Usera;;;;;
2019;12. Usera;12. Usera;37;2.524;3.495;47.528;39
2019;12. Usera;121. Orcasitas;3;518;600;7.802;3
2019;12. Usera;122. Orcasur;4;268;355;4.469;8
2019;12. Usera;123. San Fermín;6;417;528;8.256;5
2019;12. Usera;124. Almendrales;7;364;533;7.406;9
2019;12. Usera;125. Moscardó;11;403;638;9.162;5
2019;12. Usera;126. Zofío;2;223;403;4.815;4
2019;12. Usera;127. Pradolongo;4;331;438;5.613;5
2019;13. Puente de Vallecas;13. Puente de Vallecas;;;;;
2019;13. Puente de Vallecas;13. Puente de Vallecas;59;4.353;6.045;83.071;47
2019;13. Puente de Vallecas;131. Entrevías;10;649;1.017;11.044;4
2019;13. Puente de Vallecas;132. San Diego;12;597;1.198;14.865;13
2019;13. Puente de Vallecas;133. Palomeras Bajas;13;819;954;15.230;4
2019;13. Puente de Vallecas;134. Palomeras Sureste;10;943;1.035;15.766;5
2019;13. Puente de Vallecas;135. Portazgo;3;526;699;9.429;7
2019;13. Puente de Vallecas;136. Numancia;11;819;1.142;16.734;14
2019;14. Moratalaz;14. Moratalaz;;;;;
2019;14. Moratalaz;14. Moratalaz;22;1.613;1.512;32.547;11
2019;14. Moratalaz;141. Pavones;5;155;132;2.929;2
2019;14. Moratalaz;142. Horcajo;0;140;93;2.608;1
2019;14. Moratalaz;143. Marroquina;7;511;395;9.595;2
2019;14. Moratalaz;144. Media Legua;2;283;288;5.794;2
2019;14. Moratalaz;145. Fontarrón;4;265;346;5.875;2
2019;14. Moratalaz;146. Vinateros;4;259;258;5.745;2
2019;15. Ciudad Lineal;15. Ciudad Lineal;;;;;
2019;15. Ciudad Lineal;15. Ciudad Lineal;50;3.740;3.508;79.129;24
2019;15. Ciudad Lineal;151. Ventas;6;733;889;17.716;6
2019;15. Ciudad Lineal;152. Pueblo Nuevo;10;1.113;1.209;23.115;9
2019;15. Ciudad Lineal;153. Quintana;6;407;355;9.390;3
2019;15. Ciudad Lineal;154. Concepción;6;331;301;7.604;2
2019;15. Ciudad Lineal;155. San Pascual;5;310;262;6.407;2
2019;15. Ciudad Lineal;156. San Juan Bautista;6;247;153;4.461;1
2019;15. Ciudad Lineal;157. Colina;2;119;88;2.326;0
2019;15. Ciudad Lineal;158. Atalaya;0;27;16;513;0
2019;15. Ciudad Lineal;159. Costillares;9;453;235;7.597;1
2019;16. Hortaleza;16. Hortaleza;;;;;
2019;16. Hortaleza;16. Hortaleza;60;3.869;2.920;70.107;19
2019;16. Hortaleza;161. Palomas;6;144;90;2.390;1
2019;16. Hortaleza;162. Piovera;2;329;235;5.429;1
2019;16. Hortaleza;163. Canillas;15;776;552;14.184;4
2019;16. Hortaleza;164. Pinar del Rey;17;940;818;18.796;6
2019;16. Hortaleza;165. Apóstol Santiago;5;261;255;5.423;2
2019;16. Hortaleza;166. Valdefuentes;15;1.419;970;23.885;5
2019;17. Villaverde;17. Villaverde;;;;;
2019;17. Villaverde;17. Villaverde;37;3.294;3.871;50.856;44
2019;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;6;1.125;1.244;15.112;16
2019;17. Villaverde;172. San Cristóbal;2;236;490;4.605;7
2019;17. Villaverde;173. Butarque;8;516;538;7.458;5
2019;17. Villaverde;174. Los Rosales;13;793;955;13.586;8
2019;17. Villaverde;175. Ángeles;8;624;644;10.095;8
2019;18. Villa de Vallecas;18. Villa de Vallecas;;;;;
2019;18. Villa de Vallecas;18. Villa de Vallecas;34;2.923;2.724;43.547;26
2019;18. Villa de Vallecas;181. Casco Histórico de Vallecas;15;970;1.072;13.467;13
2019;18. Villa de Vallecas;182. Santa Eugenia;8;540;542;8.979;5
2019;18. Villa de Vallecas;183. Ensanche de Vallecas;11;1.413;1.110;21.101;8
2019;19. Vicálvaro;19. Vicálvaro;;;;;
2019;19. Vicálvaro;19. Vicálvaro;28;1.733;1.671;27.011;11
2019;19. Vicálvaro;191. Casco Histórico de Vicálvaro;17;698;981;11.572;9
2019;19. Vicálvaro;192. Valdebernardo;3;403;274;6.974;2
2019;19. Vicálvaro;193. Valderribas;7;573;369;7.734;0
2019;19. Vicálvaro;194. El Cañaveral;1;59;47;731;0
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;;
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;34;3.771;2.998;59.368;21
2019;20. San Blas-Canillejas;201. Simancas;10;623;556;10.661;4
2019;20. San Blas-Canillejas;202. Hellín;1;196;163;3.174;3
2019;20. San Blas-Canillejas;203. Amposta;0;132;196;2.852;3
2019;20. San Blas-Canillejas;204. Arcos;9;564;500;8.883;2
2019;20. San Blas-Canillejas;205. Rosas;4;890;521;12.725;6
2019;20. San Blas-Canillejas;206. Rejas;0;473;289;6.819;1
2019;20. San Blas-Canillejas;207. Canillejas;5;654;608;10.040;1
2019;20. San Blas-Canillejas;208. El Salvador;5;239;165;4.214;1
2019;21. Barajas;21. Barajas;;;;;
2019;21. Barajas;21. Barajas;14;1.129;640;18.702;5
2019;21. Barajas;211. Alameda de Osuna;5;404;176;6.724;0
2019;21. Barajas;212. Aeropuerto;1;35;32;613;0
2019;21. Barajas;213. Casco Histórico de Barajas;0;144;121;3.024;2
2019;21. Barajas;214. Timón;6;329;194;5.333;2
2019;21. Barajas;215. Corralejos;2;217;117;3.008;1
2020;01. Centro;01. Centro;;;;;
2020;01. Centro;01. Centro;46;1.802;1.457;57.359;42
2020;01. Centro;011. Palacio;5;309;263;9.291;6
2020;01. Centro;012. Embajadores;11;566;517;19.230;15
2020;01. Centro;013. Cortes;7;147;112;4.320;1
2020;01. Centro;014. Justicia;9;226;180;7.438;6
2020;01. Centro;015. Universidad;11;434;313;14.215;12
2020;01. Centro;016. Sol;3;120;72;2.865;2
2020;02. Arganzuela;02. Arganzuela;;;;;
2020;02. Arganzuela;02. Arganzuela;46;3.204;1.975;60.760;78
2020;02. Arganzuela;021. Imperial;5;415;252;8.654;12
2020;02. Arganzuela;022. Acacias;11;728;405;13.899;15
2020;02. Arganzuela;023. Chopera;2;348;306;7.548;12
2020;02. Arganzuela;024. Legazpi;5;587;307;8.627;8
2020;02. Arganzuela;025. Delicias;6;611;380;11.188;11
2020;02. Arganzuela;026. Palos de Moguer;17;490;302;10.361;19
2020;02. Arganzuela;027. Atocha;0;25;23;483;1
2020;03. Retiro;03. Retiro;;;;;
2020;03. Retiro;03. Retiro;51;2.067;1.296;42.624;46
2020;03. Retiro;031. Pacífico;9;570;360;12.269;17
2020;03. Retiro;032. Adelfas;3;426;236;7.107;8
2020;03. Retiro;033. Estrella;8;406;263;7.777;7
2020;03. Retiro;034. Ibiza;9;343;221;7.837;7
2020;03. Retiro;035. Los Jerónimos;11;94;61;2.262;3
2020;03. Retiro;036. Niño Jesús;11;228;155;5.372;4
2020;04. Salamanca;04. Salamanca;;;;;
2020;04. Salamanca;04. Salamanca;96;2.261;1.452;52.927;54
2020;04. Salamanca;041. Recoletos;18;181;134;5.203;8
2020;04. Salamanca;042. Goya;14;479;246;10.765;9
2020;04. Salamanca;043. Fuente del Berro;9;343;270;7.995;11
2020;04. Salamanca;044. Guindalera;14;760;459;15.788;18
2020;04. Salamanca;045. Lista;7;307;184;7.450;5
2020;04. Salamanca;046. Castellana;34;191;159;5.726;3
2020;05. Chamartín;05. Chamartín;;;;;
2020;05. Chamartín;05. Chamartín;92;2.430;1.633;54.067;48
2020;05. Chamartín;051. El Viso;31;190;219;6.405;12
2020;05. Chamartín;052. Prosperidad;11;672;405;13.808;11
2020;05. Chamartín;053. Ciudad Jardín;7;350;215;7.063;7
2020;05. Chamartín;054. Hispanoamérica;15;535;347;11.336;6
2020;05. Chamartín;055. Nueva España;24;390;292;9.210;5
2020;05. Chamartín;056. Castilla;4;293;155;6.245;7
2020;06. Tetuán;06. Tetuán;;;;;
2020;06. Tetuán;06. Tetuán;42;2.407;2.487;61.313;80
2020;06. Tetuán;061. Bellas Vistas;7;375;451;11.264;12
2020;06. Tetuán;062. Cuatro Caminos;10;542;417;13.286;10
2020;06. Tetuán;063. Castillejos;5;320;246;7.823;6
2020;06. Tetuán;064. Almenara;7;363;351;8.307;26
2020;06. Tetuán;065. Valdeacederas;8;424;526;10.629;16
2020;06. Tetuán;066. Berruguete;5;383;496;10.004;10
2020;07. Chamberí;07. Chamberí;;;;;
2020;07. Chamberí;07. Chamberí;73;2.133;1.368;52.515;50
2020;07. Chamberí;071. Gaztambide;11;314;220;8.547;11
2020;07. Chamberí;072. Arapiles;8;406;258;9.344;10
2020;07. Chamberí;073. Trafalgar;8;411;235;9.925;2
2020;07. Chamberí;074. Almagro;26;239;212;7.187;9
2020;07. Chamberí;075. Ríos Rosas;8;448;272;10.513;12
2020;07. Chamberí;076. Vallehermoso;12;315;171;6.999;6
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;;
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;71;4.409;3.520;89.803;117
2020;08. Fuencarral-El Pardo;081. El Pardo;2;34;25;1.191;1
2020;08. Fuencarral-El Pardo;082. Fuentelarreina;12;49;29;1.082;2
2020;08. Fuencarral-El Pardo;083. Peñagrande;10;749;620;15.527;20
2020;08. Fuencarral-El Pardo;084. Pilar;3;718;698;16.573;18
2020;08. Fuencarral-El Pardo;085. La Paz;10;526;309;10.854;12
2020;08. Fuencarral-El Pardo;086. Valverde;20;1.255;1.133;24.796;43
2020;08. Fuencarral-El Pardo;087. Mirasierra;7;649;412;12.423;12
2020;08. Fuencarral-El Pardo;088. El Goloso;7;429;294;7.357;9
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;;
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;67;1.818;1.442;42.729;56
2020;09. Moncloa-Aravaca;091. Casa de Campo;8;187;137;4.788;6
2020;09. Moncloa-Aravaca;092. Argüelles;10;329;201;8.727;10
2020;09. Moncloa-Aravaca;093. Ciudad Universitaria;7;247;184;5.439;2
2020;09. Moncloa-Aravaca;094. Valdezarza;7;471;422;10.486;16
2020;09. Moncloa-Aravaca;095. Valdemarín;5;97;87;2.516;3
2020;09. Moncloa-Aravaca;096. El Plantío;8;43;59;985;1
2020;09. Moncloa-Aravaca;097. Aravaca;22;444;352;9.788;18
2020;10. Latina;10. Latina;;;;;
2020;10. Latina;10. Latina;74;3.561;4.755;81.129;126
2020;10. Latina;101. Los Cármenes;7;274;402;5.972;14
2020;10. Latina;102. Puerta del Ángel;15;576;782;14.931;16
2020;10. Latina;103. Lucero;5;539;814;12.564;30
2020;10. Latina;104. Aluche;23;932;1.272;21.541;24
2020;10. Latina;105. Campamento;8;231;395;6.426;11
2020;10. Latina;106. Cuatro Vientos;1;142;124;2.453;2
2020;10. Latina;107. Águilas;15;867;966;17.242;29
2020;11. Carabanchel;11. Carabanchel;;;;;
2020;11. Carabanchel;11. Carabanchel;79;4.331;6.278;88.787;159
2020;11. Carabanchel;111. Comillas;9;324;424;7.828;14
2020;11. Carabanchel;112. Opañel;14;568;697;11.732;20
2020;11. Carabanchel;113. San Isidro;12;620;973;13.449;26
2020;11. Carabanchel;114. Vista Alegre;8;669;1.194;15.474;25
2020;11. Carabanchel;115. Puerta Bonita;18;583;970;11.600;20
2020;11. Carabanchel;116. Buenavista;12;1.057;1.207;18.149;37
2020;11. Carabanchel;117. Abrantes;6;510;813;10.555;17
2020;12. Usera;12. Usera;;;;;
2020;12. Usera;12. Usera;35;2.490;3.695;46.516;116
2020;12. Usera;121. Orcasitas;2;512;606;7.660;25
2020;12. Usera;122. Orcasur;3;266;367;4.430;13
2020;12. Usera;123. San Fermín;9;424;532;8.062;16
2020;12. Usera;124. Almendrales;4;363;572;7.390;15
2020;12. Usera;125. Moscardó;9;384;706;8.969;16
2020;12. Usera;126. Zofío;3;229;436;4.682;9
2020;12. Usera;127. Pradolongo;5;312;476;5.323;22
2020;13. Puente de Vallecas;13. Puente de Vallecas;;;;;
2020;13. Puente de Vallecas;13. Puente de Vallecas;56;4.199;6.257;81.302;189
2020;13. Puente de Vallecas;131. Entrevías;9;614;1.054;10.772;37
2020;13. Puente de Vallecas;132. San Diego;12;553;1.254;14.760;24
2020;13. Puente de Vallecas;133. Palomeras Bajas;13;818;957;14.888;36
2020;13. Puente de Vallecas;134. Palomeras Sureste;9;950;1.070;15.265;36
2020;13. Puente de Vallecas;135. Portazgo;4;484;721;9.185;22
2020;13. Puente de Vallecas;136. Numancia;9;780;1.201;16.432;34
2020;14. Moratalaz;14. Moratalaz;;;;;
2020;14. Moratalaz;14. Moratalaz;20;1.547;1.512;32.219;55
2020;14. Moratalaz;141. Pavones;4;156;130;2.903;7
2020;14. Moratalaz;142. Horcajo;1;143;97;2.568;4
2020;14. Moratalaz;143. Marroquina;6;480;369;9.413;14
2020;14. Moratalaz;144. Media Legua;2;271;280;5.695;11
2020;14. Moratalaz;145. Fontarrón;6;254;354;5.889;13
2020;14. Moratalaz;146. Vinateros;1;243;282;5.751;6
2020;15. Ciudad Lineal;15. Ciudad Lineal;;;;;
2020;15. Ciudad Lineal;15. Ciudad Lineal;55;3.727;3.581;78.524;108
2020;15. Ciudad Lineal;151. Ventas;10;720;923;17.685;35
2020;15. Ciudad Lineal;152. Pueblo Nuevo;8;1.120;1.271;22.781;31
2020;15. Ciudad Lineal;153. Quintana;7;403;390;9.307;10
2020;15. Ciudad Lineal;154. Concepción;4;347;296;7.540;6
2020;15. Ciudad Lineal;155. San Pascual;7;292;249;6.261;11
2020;15. Ciudad Lineal;156. San Juan Bautista;6;256;132;4.517;4
2020;15. Ciudad Lineal;157. Colina;1;118;90;2.335;2
2020;15. Ciudad Lineal;158. Atalaya;0;23;18;516;0
2020;15. Ciudad Lineal;159. Costillares;12;448;212;7.582;9
2020;16. Hortaleza;16. Hortaleza;;;;;
2020;16. Hortaleza;16. Hortaleza;54;3.963;2.977;70.462;76
2020;16. Hortaleza;161. Palomas;5;158;88;2.330;5
2020;16. Hortaleza;162. Piovera;2;315;225;5.388;5
2020;16. Hortaleza;163. Canillas;16;766;549;13.898;19
2020;16. Hortaleza;164. Pinar del Rey;11;915;842;18.379;18
2020;16. Hortaleza;165. Apóstol Santiago;7;256;261;5.393;6
2020;16. Hortaleza;166. Valdefuentes;13;1.553;1.012;25.074;23
2020;17. Villaverde;17. Villaverde;;;;;
2020;17. Villaverde;17. Villaverde;36;3.129;4.160;50.688;119
2020;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;8;1.041;1.355;14.882;32
2020;17. Villaverde;172. San Cristóbal;1;206;524;4.583;19
2020;17. Villaverde;173. Butarque;6;519;547;7.721;19
2020;17. Villaverde;174. Los Rosales;13;768;1.016;13.326;24
2020;17. Villaverde;175. Ángeles;8;595;718;10.176;25
2020;18. Villa de Vallecas;18. Villa de Vallecas;;;;;
2020;18. Villa de Vallecas;18. Villa de Vallecas;42;2.933;2.754;44.123;78
2020;18. Villa de Vallecas;181. Casco Histórico de Vallecas;18;924;1.106;13.302;33
2020;18. Villa de Vallecas;182. Santa Eugenia;8;536;521;8.861;10
2020;18. Villa de Vallecas;183. Ensanche de Vallecas;16;1.473;1.127;21.960;35
2020;19. Vicálvaro;19. Vicálvaro;;;;;
2020;19. Vicálvaro;19. Vicálvaro;22;1.755;1.706;27.150;43
2020;19. Vicálvaro;191. Casco Histórico de Vicálvaro;12;749;1.021;11.843;27
2020;19. Vicálvaro;192. Valdebernardo;3;396;271;6.861;11
2020;19. Vicálvaro;193. Valderribas;7;554;363;7.679;5
2020;19. Vicálvaro;194. El Cañaveral;0;56;51;767;0
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;;
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;35;3.715;3.018;58.673;99
2020;20. San Blas-Canillejas;201. Simancas;7;595;555;10.633;23
2020;20. San Blas-Canillejas;202. Hellín;1;188;178;3.107;4
2020;20. San Blas-Canillejas;203. Amposta;0;145;219;2.836;2
2020;20. San Blas-Canillejas;204. Arcos;12;550;490;8.784;23
2020;20. San Blas-Canillejas;205. Rosas;4;863;507;12.515;17
2020;20. San Blas-Canillejas;206. Rejas;2;477;295;6.868;4
2020;20. San Blas-Canillejas;207. Canillejas;6;648;616;9.801;21
2020;20. San Blas-Canillejas;208. El Salvador;3;249;158;4.129;5
2020;21. Barajas;21. Barajas;;;;;
2020;21. Barajas;21. Barajas;14;1.115;689;18.556;21
2020;21. Barajas;211. Alameda de Osuna;4;411;186;6.664;6
2020;21. Barajas;212. Aeropuerto;0;30;38;611;2
2020;21. Barajas;213. Casco Histórico de Barajas;1;136;136;2.929;5
2020;21. Barajas;214. Timón;7;335;203;5.349;4
2020;21. Barajas;215. Corralejos;2;203;126;3.003;4
