AÑO;DISTRITO;BARRIO;Densidad (Habitantes/Ha.);Edad promedio;Edad mediana;Proporción de juventud;Proporción de envejecimiento;Proporción de sobreenvejecimiento;Índice de envejecimiento;Índice de juventud;Índice de dependencia;Índice de estructura de la población activa;Índice de Reemplazo de la población activa;Razón de progresividad demográfica;Proporción de extranjeros;Proporción de nacidos fuera de España;Proporción de inmigrantes extranjeros
2019;13. Puente de Vallecas;131. Entrevías;59,01;43,43;43,35;14,22;18,57;39,88;130,59;76,58;48,80;84,76;65,77;98,36;17,86;26,56;14,22
2019;13. Puente de Vallecas;132. San Diego;407,28;40,62;40,10;14,50;13,29;38,87;91,66;109,10;38,50;95,73;75,13;107,68;32,70;46,70;28,10
2019;13. Puente de Vallecas;133. Palomeras Bajas;234,75;43,69;45,20;12,59;16,72;35,95;132,75;75,33;41,46;77,13;61,48;91,40;16;23,98;12,81
2019;13. Puente de Vallecas;134. Palomeras Sureste;138,08;43,99;44,48;13,46;18,17;37,70;134,98;74,09;46,26;77,49;50,87;90,71;13,71;21,43;10,41
2019;13. Puente de Vallecas;135. Portazgo;230,76;44,62;44,28;13,90;21,11;38,35;151,85;65,85;53,86;83,77;54,39;96,86;16,57;25,79;13,26
2019;13. Puente de Vallecas;136. Numancia;260,22;43,54;43,09;12,93;18,16;37,22;140,44;71,21;45,12;87,67;55,17;103,18;23,67;35,50;19,43
2019;14. Moratalaz;14. Moratalaz;;;;;;;;;;;;;;;
2019;14. Moratalaz;14. Moratalaz;153,71;47,90;49,43;11,41;26,05;40,31;228,38;43,79;59,90;72,53;53,74;89,67;10,69;18,16;7,47
2019;14. Moratalaz;141. Pavones;88,86;47,32;49,17;11,78;25,64;36,13;217,60;45,96;59,79;74,22;60,38;85,67;10,86;17,21;6,79
2019;14. Moratalaz;142. Horcajo;85,41;40,39;44,84;15,40;9,84;25,68;63,91;156,46;33,76;66,07;107,68;80,23;5,59;11;3,17
2019;14. Moratalaz;143. Marroquina;148,92;49,41;52,16;9,66;28,09;37,92;290,76;34,39;60,63;70,02;47,18;89,80;7,03;12,50;4,69
2019;14. Moratalaz;144. Media Legua;176,78;48,32;49,95;11,40;28,02;34,98;245,80;40,68;65,06;77,11;41,70;104,09;10,53;17,42;7,64
2019;14. Moratalaz;145. Fontarrón;179,25;46,80;46,62;12,50;24,51;47,24;196,11;50,99;58,75;78,39;61,26;86,46;16,21;27,19;12,01
2019;14. Moratalaz;146. Vinateros;283,83;49,32;49,57;11,36;28,71;47,26;252,79;39,56;66,87;68,22;47,79;84,84;12,84;21,82;9,03
2019;15. Ciudad Lineal;15. Ciudad Lineal;;;;;;;;;;;;;;;
2019;15. Ciudad Lineal;15. Ciudad Lineal;189,76;45,98;46,18;12,27;22,71;38,10;185,08;54,03;53,79;78,79;54,91;90,65;15,71;26,54;11,51
2019;15. Ciudad Lineal;151. Ventas;151,38;46,54;46,22;11,16;23;43,42;206,05;48,53;51,88;81,33;50;101,42;18,46;31,15;14,20
2019;15. Ciudad Lineal;152. Pueblo Nuevo;270,48;45,46;45,41;11,98;21,53;37,02;179,76;55,63;50,39;81,47;55,11;92,40;19,11;32,58;15,02
2019;15. Ciudad Lineal;153. Quintana;340,48;46,04;45,30;11,01;21,57;42,50;195,98;51,03;48,32;84,34;46,79;89,09;20,17;33,35;15,23
2019;15. Ciudad Lineal;154. Concepción;233,96;47,07;47,09;11,80;24;41,70;203,35;49,18;55,76;75,39;44,17;89,91;14,73;24,40;10,09
2019;15. Ciudad Lineal;155. San Pascual;169,30;47,98;49,23;12,02;27,07;33,84;225,15;44,41;64,19;69,95;45,17;79,22;9,14;15,84;5,64
2019;15. Ciudad Lineal;156. San Juan Bautista;123,50;44,60;45,89;15,20;21,82;34,18;143,52;69,68;58,79;72,75;78;82,02;10,71;16,36;5,33
2019;15. Ciudad Lineal;157. Colina;113,76;45,21;45,96;14,97;22,99;30,87;153,62;65,10;61,19;72,41;58,35;89,30;11,01;17,73;5,97
2019;15. Ciudad Lineal;158. Atalaya;63,48;44,36;45,81;15,70;21,77;27,33;138,71;72,09;59,92;69,47;84,69;109,46;11,90;16,84;5,63
2019;15. Ciudad Lineal;159. Costillares;154,66;44,64;46,51;14,90;22,45;29,90;150,68;66,36;59,62;75,45;77,19;83,83;5,68;11,25;3,13
2019;16. Hortaleza;16. Hortaleza;;;;;;;;;;;;;;;
2019;16. Hortaleza;16. Hortaleza;70,47;42,54;43,42;17,58;18,57;31,12;105,64;94,66;56,60;71,08;71,38;87,99;11,19;17,90;6,50
2019;16. Hortaleza;161. Palomas;60,99;40,65;43,45;19,50;15,44;20,86;79,17;126,32;53,71;66,41;101,59;77,12;11,13;16,43;4,53
2019;16. Hortaleza;162. Piovera;47,25;41,36;43,95;17,65;14,88;24,05;84,34;118,57;48,22;67,94;74,20;71,46;15,60;21,70;4,96
2019;16. Hortaleza;163. Canillas;159,69;47,89;48,90;11,89;26,92;31,36;226,39;44,17;63,41;70,79;45,71;85,84;10,05;15,95;6,01
2019;16. Hortaleza;164. Pinar del Rey;196,99;47,33;47,79;12,17;26,14;35,11;214,79;46,56;62,09;74,70;52,55;86,33;12,03;20,01;8,35
2019;16. Hortaleza;165. Apóstol Santiago;128,40;45,76;47,29;11,99;21,17;36,70;176,55;56,64;49,60;71,64;61,08;86,38;10,61;18,23;7,52
2019;16. Hortaleza;166. Valdefuentes;37,75;34,87;38,02;26,83;7,53;20,84;28,09;356,02;52,35;69,65;135,99;92,48;10,34;16,58;5,60
2019;17. Villaverde;17. Villaverde;;;;;;;;;;;;;;;
2019;17. Villaverde;17. Villaverde;76,68;42,09;42,51;15,99;16,64;38,07;104,05;96,11;48,43;80,19;77,83;92,58;21,82;33,19;17,82
2019;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;50,40;42,17;42,57;15,61;16,25;39,30;104,12;96,04;46,76;80,87;75,42;96,52;22,65;33,54;18,07
2019;17. Villaverde;172. San Cristóbal;156,92;38,33;37,51;18,60;11,45;47,04;61,55;162,47;42,97;101,78;98,97;98,51;36,34;54,56;33,20
2019;17. Villaverde;173. Butarque;32,50;36,43;38,99;23,39;8,66;24,23;37,03;270,03;47,17;71,02;134,85;79,09;14,82;23,66;10,71
2019;17. Villaverde;174. Los Rosales;245,27;42,87;44,19;14,31;16,81;32,32;117,46;85,14;45,18;74,77;79,50;90,03;20,88;32;16,82
2019;17. Villaverde;175. Ángeles;168,83;46,63;46,62;12,43;24,75;42,34;199,16;50,21;59,17;81,69;52,46;100,41;18,63;29,03;15,13
2019;18. Villa de Vallecas;18. Villa de Vallecas;;;;;;;;;;;;;;;
2019;18. Villa de Vallecas;18. Villa de Vallecas;22,29;39,30;40,36;18,91;12,66;28,11;66,97;149,33;46,13;79,44;73,09;89,67;14,05;20,82;9,29
2019;18. Villa de Vallecas;181. Casco Histórico de Vallecas;9,35;41,69;42,09;16,18;16,47;33,72;101,84;98,19;48,47;81,84;82,85;88,54;18,41;26,21;13,72
2019;18. Villa de Vallecas;182. Santa Eugenia;116,76;46,14;47,89;11,71;22,82;23,54;194,90;51,31;52,75;74,37;39,77;87,72;10,77;15,11;4,36
2019;18. Villa de Vallecas;183. Ensanche de Vallecas;79,17;34,08;37,42;24,58;4,69;23,07;19,08;524,13;41,37;79,96;111,88;90,55;12,15;19,26;8,11
2019;19. Vicálvaro;19. Vicálvaro;;;;;;;;;;;;;;;
2019;19. Vicálvaro;19. Vicálvaro;21,40;41,19;43,09;17,39;14,08;36,02;80,95;123,53;45,93;67,87;92,60;75,53;13,33;19,61;8,05
2019;19. Vicálvaro;191. Casco Histórico de Vicálvaro;16,54;44,03;44,01;14,77;20,44;40,66;138,33;72,29;54,35;79,10;72,59;87,22;21,50;29,22;12,84
2019;19. Vicálvaro;192. Valdebernardo;68,67;42,43;46,83;12,09;12,14;25,26;100,38;99,62;31,98;70;82,95;81,67;7,51;13,70;5,26
2019;19. Vicálvaro;193. Valderribas;279,26;36,48;42,20;26,26;6,22;28,80;23,70;421,91;48,12;39,93;187,85;47,52;3,87;7,69;2,04
2019;19. Vicálvaro;194. El Cañaveral;4,19;32,57;34,80;23,45;2,62;12,93;11,16;895,69;35,27;123,09;133,33;131,15;9,26;14,24;4,92
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;;;;;;;;;;;;
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;71,89;43,40;44,63;14,48;17,34;38,26;119,70;83,54;46,67;73,12;74,89;86,96;14,29;22,68;9,93
2019;20. San Blas-Canillejas;201. Simancas;124,99;42,66;43,12;14,64;15,50;42,11;105,88;94,44;43,14;76,30;66,65;88,31;19,35;30,28;14,03
2019;20. San Blas-Canillejas;202. Hellín;169,99;46,03;45,51;12,46;21,23;56,97;170,41;58,68;50,81;82,37;49,06;90,21;16,27;26,73;12,92
2019;20. San Blas-Canillejas;203. Amposta;239,97;43,13;42,52;14,88;17,82;50,03;119,74;83,51;48,58;87,58;56,39;95,31;19,85;33,19;16,38
2019;20. San Blas-Canillejas;204. Arcos;188,80;43,25;44,86;14,58;17;42,72;116,62;85,75;46,17;72,51;92,52;90,32;11,85;20,72;8,85
2019;20. San Blas-Canillejas;205. Rosas;33,92;42,43;46,42;15;14,55;27,88;96,96;103,14;41,94;62,10;118,20;73,03;6,24;10,43;3,57
2019;20. San Blas-Canillejas;206. Rejas;34,09;39,21;40,73;19,51;11,24;37,90;57,60;173,61;44,38;71,72;75,95;83,60;18,73;28,04;11,55
2019;20. San Blas-Canillejas;207. Canillejas;181,04;45,85;46,15;12,63;23,01;33,72;182,23;54,88;55,36;79,17;51,27;95,46;17,32;25,80;11,83
2019;20. San Blas-Canillejas;208. El Salvador;60,44;46,40;49,68;10,97;21,56;33,02;196,47;50,90;48,22;70,95;53,31;92,60;8,94;14,34;4,79
2019;21. Barajas;21. Barajas;;;;;;;;;;;;;;;
2019;21. Barajas;21. Barajas;11,95;42,21;43,54;17,66;17,89;26,26;101,27;98,75;55,16;67,65;83,10;82,74;10,26;16,67;5,96
2019;21. Barajas;211. Alameda de Osuna;99,76;45,50;46,93;16,29;25,91;21,95;159,04;62,88;73,04;61,52;83,32;74,18;6,43;11,97;3,23
2019;21. Barajas;212. Aeropuerto;0,65;41,97;42,16;15,48;14,70;43,62;94,95;105,32;43,24;79,25;49,57;100;22,78;33,16;17,99
2019;21. Barajas;213. Casco Histórico de Barajas;136,59;44,73;44,02;11,42;18,95;33,12;165,93;60,27;43,62;81,61;40,71;101,45;19,64;29,06;12,63
2019;21. Barajas;214. Timón;26,17;38,27;39,80;20,65;10,53;30,56;51;196,08;45,30;76,11;84,66;96,34;10,93;17,21;6,49
2019;21. Barajas;215. Corralejos;16,37;38,19;42,30;22,64;9,85;27,95;43,52;229,80;48,13;52,94;163,17;64,27;6,58;11,56;2,47
