AÑO;DISTRITO;BARRIO;Temporal;Indefinido
2019;19. Vicálvaro;19. Vicálvaro;;
2019;19. Vicálvaro;19. Vicálvaro;5.732;20.105
2019;19. Vicálvaro;191. Casco Histórico de Vicálvaro;3.032;8.697
2019;19. Vicálvaro;192. Valdebernardo;1.475;4.725
2019;19. Vicálvaro;193. Valderribas;1.120;6.062
2019;19. Vicálvaro;194. El Cañaveral;105;621
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;;
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;12.316;43.330
2019;20. San Blas-Canillejas;201. Simancas;2.371;7.867
2019;20. San Blas-Canillejas;202. Hellín;832;2.317
2019;20. San Blas-Canillejas;203. Amposta;821;2.063
2019;20. San Blas-Canillejas;204. Arcos;1.996;6.596
2019;20. San Blas-Canillejas;205. Rosas;2.146;9.263
2019;20. San Blas-Canillejas;206. Rejas;1.138;5.118
2019;20. San Blas-Canillejas;207. Canillejas;2.343;7.314
2019;20. San Blas-Canillejas;208. El Salvador;669;2.792
2019;21. Barajas;21. Barajas;;
2019;21. Barajas;21. Barajas;3.041;13.935
2019;21. Barajas;211. Alameda de Osuna;1.032;4.812
2019;21. Barajas;212. Aeropuerto;174;447
2019;21. Barajas;213. Casco Histórico de Barajas;661;2.264
2019;21. Barajas;214. Timón;867;4.136
2019;21. Barajas;215. Corralejos;307;2.276
2020;01. Centro;01. Centro;;
2020;01. Centro;01. Centro;10.240;35.153
2020;01. Centro;011. Palacio;1.530;5.638
2020;01. Centro;012. Embajadores;4.126;11.679
2020;01. Centro;013. Cortes;682;2.562
2020;01. Centro;014. Justicia;1.011;4.613
2020;01. Centro;015. Universidad;2.387;9.016
2020;01. Centro;016. Sol;504;1.645
2020;02. Arganzuela;02. Arganzuela;;
2020;02. Arganzuela;02. Arganzuela;11.360;40.651
2020;02. Arganzuela;021. Imperial;1.524;5.696
2020;02. Arganzuela;022. Acacias;2.622;8.907
2020;02. Arganzuela;023. Chopera;1.623;5.111
2020;02. Arganzuela;024. Legazpi;1.282;6.142
2020;02. Arganzuela;025. Delicias;2.109;7.647
2020;02. Arganzuela;026. Palos de Moguer;2.108;6.856
2020;02. Arganzuela;027. Atocha;92;292
2020;03. Retiro;03. Retiro;;
2020;03. Retiro;03. Retiro;6.800;28.220
2020;03. Retiro;031. Pacífico;2.155;8.097
2020;03. Retiro;032. Adelfas;1.220;4.936
2020;03. Retiro;033. Estrella;1.221;5.195
2020;03. Retiro;034. Ibiza;1.207;5.198
2020;03. Retiro;035. Los Jerónimos;267;1.403
2020;03. Retiro;036. Niño Jesús;730;3.391
2020;04. Salamanca;04. Salamanca;;
2020;04. Salamanca;04. Salamanca;7.152;35.935
2020;04. Salamanca;041. Recoletos;457;3.261
2020;04. Salamanca;042. Goya;1.455;7.184
2020;04. Salamanca;043. Fuente del Berro;1.317;5.469
2020;04. Salamanca;044. Guindalera;2.398;11.045
2020;04. Salamanca;045. Lista;997;5.124
2020;04. Salamanca;046. Castellana;528;3.852
2020;05. Chamartín;05. Chamartín;;
2020;05. Chamartín;05. Chamartín;6.703;37.629
2020;05. Chamartín;051. El Viso;530;4.192
2020;05. Chamartín;052. Prosperidad;2.087;9.837
2020;05. Chamartín;053. Ciudad Jardín;1.089;4.900
2020;05. Chamartín;054. Hispanoamérica;1.273;7.886
2020;05. Chamartín;055. Nueva España;843;6.461
2020;05. Chamartín;056. Castilla;881;4.353
2020;06. Tetuán;06. Tetuán;;
2020;06. Tetuán;06. Tetuán;11.315;44.116
2020;06. Tetuán;061. Bellas Vistas;2.189;7.969
2020;06. Tetuán;062. Cuatro Caminos;2.018;9.570
2020;06. Tetuán;063. Castillejos;1.121;5.610
2020;06. Tetuán;064. Almenara;1.712;6.064
2020;06. Tetuán;065. Valdeacederas;2.188;7.705
2020;06. Tetuán;066. Berruguete;2.087;7.198
2020;07. Chamberí;07. Chamberí;;
2020;07. Chamberí;07. Chamberí;7.810;35.243
2020;07. Chamberí;071. Gaztambide;1.553;5.365
2020;07. Chamberí;072. Arapiles;1.510;6.372
2020;07. Chamberí;073. Trafalgar;1.438;6.767
2020;07. Chamberí;074. Almagro;797;4.808
2020;07. Chamberí;075. Ríos Rosas;1.498;7.325
2020;07. Chamberí;076. Vallehermoso;1.014;4.606
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;14.048;64.899
2020;08. Fuencarral-El Pardo;081. El Pardo;172;793
2020;08. Fuencarral-El Pardo;082. Fuentelarreina;109;660
2020;08. Fuencarral-El Pardo;083. Peñagrande;2.688;10.779
2020;08. Fuencarral-El Pardo;084. Pilar;3.245;11.956
2020;08. Fuencarral-El Pardo;085. La Paz;1.776;7.266
2020;08. Fuencarral-El Pardo;086. Valverde;3.796;19.058
2020;08. Fuencarral-El Pardo;087. Mirasierra;1.537;8.629
2020;08. Fuencarral-El Pardo;088. El Goloso;725;5.758
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;6.302;27.875
2020;09. Moncloa-Aravaca;091. Casa de Campo;880;3.005
2020;09. Moncloa-Aravaca;092. Argüelles;1.318;5.478
2020;09. Moncloa-Aravaca;093. Ciudad Universitaria;818;3.436
2020;09. Moncloa-Aravaca;094. Valdezarza;1.963;7.303
2020;09. Moncloa-Aravaca;095. Valdemarín;168;1.567
2020;09. Moncloa-Aravaca;096. El Plantío;98;621
2020;09. Moncloa-Aravaca;097. Aravaca;1.057;6.465
2020;10. Latina;10. Latina;;
2020;10. Latina;10. Latina;18.134;57.581
2020;10. Latina;101. Los Cármenes;1.351;4.223
2020;10. Latina;102. Puerta del Ángel;3.323;10.278
2020;10. Latina;103. Lucero;2.930;8.788
2020;10. Latina;104. Aluche;4.962;15.297
2020;10. Latina;105. Campamento;1.475;4.621
2020;10. Latina;106. Cuatro Vientos;381;1.828
2020;10. Latina;107. Águilas;3.712;12.546
2020;11. Carabanchel;11. Carabanchel;;
2020;11. Carabanchel;11. Carabanchel;20.729;63.809
2020;11. Carabanchel;111. Comillas;1.815;5.321
2020;11. Carabanchel;112. Opañel;2.705;8.280
2020;11. Carabanchel;113. San Isidro;3.317;9.519
2020;11. Carabanchel;114. Vista Alegre;3.901;11.077
2020;11. Carabanchel;115. Puerta Bonita;2.946;8.464
2020;11. Carabanchel;116. Buenavista;3.589;13.469
2020;11. Carabanchel;117. Abrantes;2.456;7.679
2020;12. Usera;12. Usera;;
2020;12. Usera;12. Usera;11.656;33.139
2020;12. Usera;121. Orcasitas;1.795;5.630
2020;12. Usera;122. Orcasur;1.190;3.175
2020;12. Usera;123. San Fermín;1.897;5.753
2020;12. Usera;124. Almendrales;1.881;5.187
2020;12. Usera;125. Moscardó;2.284;6.225
2020;12. Usera;126. Zofío;1.246;3.348
2020;12. Usera;127. Pradolongo;1.363;3.821
2020;13. Puente de Vallecas;13. Puente de Vallecas;;
2020;13. Puente de Vallecas;13. Puente de Vallecas;20.834;58.941
2020;13. Puente de Vallecas;131. Entrevías;2.892;8.080
2020;13. Puente de Vallecas;132. San Diego;4.095;10.489
2020;13. Puente de Vallecas;133. Palomeras Bajas;3.678;10.441
2020;13. Puente de Vallecas;134. Palomeras Sureste;3.591;11.447
2020;13. Puente de Vallecas;135. Portazgo;2.405;6.689
2020;13. Puente de Vallecas;136. Numancia;4.173;11.795
2020;14. Moratalaz;14. Moratalaz;;
2020;14. Moratalaz;14. Moratalaz;6.654;22.750
2020;14. Moratalaz;141. Pavones;649;2.042
2020;14. Moratalaz;142. Horcajo;442;1.764
2020;14. Moratalaz;143. Marroquina;1.800;6.528
2020;14. Moratalaz;144. Media Legua;1.216;3.971
2020;14. Moratalaz;145. Fontarrón;1.321;4.310
2020;14. Moratalaz;146. Vinateros;1.226;4.135
2020;15. Ciudad Lineal;15. Ciudad Lineal;;
2020;15. Ciudad Lineal;15. Ciudad Lineal;14.923;56.478
2020;15. Ciudad Lineal;151. Ventas;3.878;12.767
2020;15. Ciudad Lineal;152. Pueblo Nuevo;4.894;16.718
2020;15. Ciudad Lineal;153. Quintana;1.926;6.653
2020;15. Ciudad Lineal;154. Concepción;1.350;5.371
2020;15. Ciudad Lineal;155. San Pascual;1.004;4.543
2020;15. Ciudad Lineal;156. San Juan Bautista;598;3.164
2020;15. Ciudad Lineal;157. Colina;314;1.595
2020;15. Ciudad Lineal;158. Atalaya;51;334
2020;15. Ciudad Lineal;159. Costillares;908;5.333
2020;16. Hortaleza;16. Hortaleza;;
2020;16. Hortaleza;16. Hortaleza;10.560;52.172
2020;16. Hortaleza;161. Palomas;214;1.600
2020;16. Hortaleza;162. Piovera;539;3.556
2020;16. Hortaleza;163. Canillas;2.427;10.070
2020;16. Hortaleza;164. Pinar del Rey;3.507;13.552
2020;16. Hortaleza;165. Apóstol Santiago;1.009;3.846
2020;16. Hortaleza;166. Valdefuentes;2.864;19.548
2020;17. Villaverde;17. Villaverde;;
2020;17. Villaverde;17. Villaverde;12.941;37.705
2020;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;4.064;11.111
2020;17. Villaverde;172. San Cristóbal;1.446;3.392
2020;17. Villaverde;173. Butarque;1.619;6.027
2020;17. Villaverde;174. Los Rosales;3.231;9.794
2020;17. Villaverde;175. Ángeles;2.581;7.381
2020;18. Villa de Vallecas;18. Villa de Vallecas;;
2020;18. Villa de Vallecas;18. Villa de Vallecas;9.153;33.479
2020;18. Villa de Vallecas;181. Casco Histórico de Vallecas;3.442;9.995
2020;18. Villa de Vallecas;182. Santa Eugenia;1.897;6.417
2020;18. Villa de Vallecas;183. Ensanche de Vallecas;3.814;17.067
2020;19. Vicálvaro;19. Vicálvaro;;
2020;19. Vicálvaro;19. Vicálvaro;5.597;20.411
2020;19. Vicálvaro;191. Casco Histórico de Vicálvaro;2.897;9.128
2020;19. Vicálvaro;192. Valdebernardo;1.439;4.659
2020;19. Vicálvaro;193. Valderribas;1.114;6.013
2020;19. Vicálvaro;194. El Cañaveral;147;611
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;;
2020;20. San Blas-Canillejas;20. San Blas-Canillejas;11.214;43.591
2020;20. San Blas-Canillejas;201. Simancas;2.098;8.026
2020;20. San Blas-Canillejas;202. Hellín;773;2.323
2020;20. San Blas-Canillejas;203. Amposta;772;2.133
2020;20. San Blas-Canillejas;204. Arcos;1.829;6.630
2020;20. San Blas-Canillejas;205. Rosas;2.044;9.166
2020;20. San Blas-Canillejas;206. Rejas;1.045;5.202
2020;20. San Blas-Canillejas;207. Canillejas;2.072;7.320
2020;20. San Blas-Canillejas;208. El Salvador;581;2.791
2020;21. Barajas;21. Barajas;;
2020;21. Barajas;21. Barajas;2.743;14.101
2020;21. Barajas;211. Alameda de Osuna;929;4.885
2020;21. Barajas;212. Aeropuerto;149;466
2020;21. Barajas;213. Casco Histórico de Barajas;573;2.245
2020;21. Barajas;214. Timón;800;4.220
2020;21. Barajas;215. Corralejos;292;2.285
