AÑO;DISTRITO;BARRIO;Menos de 40 m2;40 a 60 m2;60 a 80 m2;80 a 100 m2;Más de 100 m2
2018;01. Centro;012. Embajadores;450;250;157;75;94
2018;01. Centro;013. Cortes;43;53;37;27;68
2018;01. Centro;014. Justicia;67;75;67;56;180
2018;01. Centro;015. Universidad;169;149;123;66;102
2018;01. Centro;016. Sol;15;18;19;22;40
2018;02. Arganzuela;02. Arganzuela;;;;;
2018;02. Arganzuela;02. Arganzuela;190;291;288;251;232
2018;02. Arganzuela;021. Imperial;19;18;42;43;38
2018;02. Arganzuela;022. Acacias;14;11;12;11;13
2018;02. Arganzuela;023. Chopera;17;67;62;55;28
2018;02. Arganzuela;024. Legazpi;0;51;26;54;46
2018;02. Arganzuela;025. Delicias;58;62;75;43;47
2018;02. Arganzuela;026. Palos de Moguer;82;81;71;44;58
2018;02. Arganzuela;027. Atocha;0;1;0;1;2
2018;03. Retiro;03. Retiro;;;;;
2018;03. Retiro;03. Retiro;99;192;257;250;500
2018;03. Retiro;031. Pacífico;42;76;84;86;84
2018;03. Retiro;032. Adelfas;17;41;42;36;23
2018;03. Retiro;033. Estrella;1;11;55;27;96
2018;03. Retiro;034. Ibiza;31;40;46;64;152
2018;03. Retiro;035. Los Jerónimos;2;9;13;5;87
2018;03. Retiro;036. Niño Jesús;6;15;17;32;58
2018;04. Salamanca;04. Salamanca;;;;;
2018;04. Salamanca;04. Salamanca;272;396;362;268;817
2018;04. Salamanca;041. Recoletos;23;25;23;24;153
2018;04. Salamanca;042. Goya;71;83;62;48;156
2018;04. Salamanca;043. Fuente del Berro;46;72;65;52;66
2018;04. Salamanca;044. Guindalera;81;124;89;91;208
2018;04. Salamanca;045. Lista;32;60;98;33;113
2018;04. Salamanca;046. Castellana;19;32;25;20;121
2018;05. Chamartín;05. Chamartín;;;;;
2018;05. Chamartín;05. Chamartín;112;257;369;245;548
2018;05. Chamartín;051. El Viso;8;10;31;19;122
2018;05. Chamartín;052. Prosperidad;31;91;125;101;71
2018;05. Chamartín;053. Ciudad Jardín;47;69;59;48;58
2018;05. Chamartín;054. Hispanoamérica;9;43;78;36;131
2018;05. Chamartín;055. Nueva España;15;27;44;16;100
2018;05. Chamartín;056. Castilla;2;17;32;25;66
2018;06. Tetuán;06. Tetuán;;;;;
2018;06. Tetuán;06. Tetuán;450;748;588;294;395
2018;06. Tetuán;061. Bellas Vistas;121;168;98;39;37
2018;06. Tetuán;062. Cuatro Caminos;88;105;88;54;149
2018;06. Tetuán;063. Castillejos;40;61;62;37;82
2018;06. Tetuán;064. Almenara;50;160;182;90;88
2018;06. Tetuán;065. Valdeacederas;82;151;90;34;16
2018;06. Tetuán;066. Berruguete;69;103;68;40;23
2018;07. Chamberí;07. Chamberí;;;;;
2018;07. Chamberí;07. Chamberí;217;327;277;220;577
2018;07. Chamberí;071. Gaztambide;48;61;47;39;118
2018;07. Chamberí;072. Arapiles;41;118;82;43;82
2018;07. Chamberí;073. Trafalgar;81;80;64;62;109
2018;07. Chamberí;074. Almagro;21;30;36;28;138
2018;07. Chamberí;075. Ríos Rosas;55;89;64;49;137
2018;07. Chamberí;076. Vallehermoso;19;10;31;38;111
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;;
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;50;359;472;440;949
2018;08. Fuencarral-El Pardo;081. El Pardo;1;5;16;13;10
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;0;1;3;2;31
2018;08. Fuencarral-El Pardo;083. Peñagrande;9;74;125;89;204
2018;08. Fuencarral-El Pardo;084. Pilar;13;127;26;7;36
2018;08. Fuencarral-El Pardo;085. La Paz;1;4;33;53;107
2018;08. Fuencarral-El Pardo;086. Valverde;18;133;214;138;171
2018;08. Fuencarral-El Pardo;087. Mirasierra;4;10;33;69;244
2018;08. Fuencarral-El Pardo;088. El Goloso;4;5;22;69;146
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;;
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;62;281;433;195;635
2018;09. Moncloa-Aravaca;091. Casa de Campo;6;12;40;22;39
2018;09. Moncloa-Aravaca;092. Argüelles;30;73;79;46;133
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;11;24;22;16;73
2018;09. Moncloa-Aravaca;094. Valdezarza;12;62;142;42;68
2018;09. Moncloa-Aravaca;095. Valdemarín;1;7;7;9;85
2018;09. Moncloa-Aravaca;096. El Plantío;0;2;0;5;17
2018;09. Moncloa-Aravaca;097. Aravaca;2;101;143;55;220
2018;10. Latina;10. Latina;;;;;
2018;10. Latina;10. Latina;101;679;1.065;442;209
2018;10. Latina;101. Los Cármenes;7;29;64;46;19
2018;10. Latina;102. Puerta del Ángel;54;195;186;66;50
2018;10. Latina;103. Lucero;18;137;169;74;28
2018;10. Latina;104. Aluche;14;112;369;146;51
2018;10. Latina;105. Campamento;2;85;45;36;39
2018;10. Latina;106. Cuatro Vientos;0;7;16;6;2
2018;10. Latina;107. Águilas;6;114;216;68;20
2018;11. Carabanchel;11. Carabanchel;;;;;
2018;11. Carabanchel;11. Carabanchel;110;900;753;333;180
2018;11. Carabanchel;111. Comillas;9;44;50;36;6
2018;11. Carabanchel;112. Opañel;18;86;106;42;34
2018;11. Carabanchel;113. San Isidro;24;195;138;61;33
2018;11. Carabanchel;114. Vista Alegre;27;198;190;68;28
2018;11. Carabanchel;115. Puerta Bonita;9;119;82;43;20
2018;11. Carabanchel;116. Buenavista;19;183;134;56;36
2018;11. Carabanchel;117. Abrantes;4;75;53;27;23
2018;12. Usera;12. Usera;;;;;
2018;12. Usera;12. Usera;70;326;349;313;273
2018;12. Usera;121. Orcasitas;1;1;22;71;96
2018;12. Usera;122. Orcasur;3;8;40;18;63
2018;12. Usera;123. San Fermín;6;44;70;80;22
2018;12. Usera;124. Almendrales;21;78;54;23;35
2018;12. Usera;125. Moscardó;4;58;109;42;28
2018;12. Usera;126. Zofío;3;58;17;13;5
2018;12. Usera;127. Pradolongo;32;79;37;66;24
2018;13. Puente de Vallecas;13. Puente de Vallecas;;;;;
2018;13. Puente de Vallecas;13. Puente de Vallecas;322;949;677;463;282
2018;13. Puente de Vallecas;131. Entrevías;39;83;113;116;58
2018;13. Puente de Vallecas;132. San Diego;155;299;159;47;19
2018;13. Puente de Vallecas;133. Palomeras Bajas;16;106;116;55;21
2018;13. Puente de Vallecas;134. Palomeras Sureste;4;112;63;124;107
2018;13. Puente de Vallecas;135. Portazgo;10;94;81;67;21
2018;13. Puente de Vallecas;136. Numancia;98;255;145;54;56
2018;14. Moratalaz;14. Moratalaz;;;;;
2018;14. Moratalaz;14. Moratalaz;6;240;227;174;81
2018;14. Moratalaz;141. Pavones;0;20;13;32;7
2018;14. Moratalaz;142. Horcajo;0;5;7;3;8
2018;14. Moratalaz;143. Marroquina;5;52;18;52;20
2018;14. Moratalaz;144. Media Legua;1;47;45;29;22
2018;14. Moratalaz;145. Fontarrón;0;63;89;20;17
2018;14. Moratalaz;146. Vinateros;0;53;55;38;7
2018;15. Ciudad Lineal;15. Ciudad Lineal;;;;;
2018;15. Ciudad Lineal;15. Ciudad Lineal;101;831;828;322;344
2018;15. Ciudad Lineal;151. Ventas;22;242;248;31;39
2018;15. Ciudad Lineal;152. Pueblo Nuevo;38;267;244;96;49
2018;15. Ciudad Lineal;153. Quintana;11;114;130;50;14
2018;15. Ciudad Lineal;154. Concepción;17;99;93;27;25
2018;15. Ciudad Lineal;155. San Pascual;7;68;32;25;51
2018;15. Ciudad Lineal;156. San Juan Bautista;1;14;19;36;47
2018;15. Ciudad Lineal;157. Colina;1;16;23;21;23
2018;15. Ciudad Lineal;158. Atalaya;1;2;13;1;6
2018;15. Ciudad Lineal;159. Costillares;3;9;26;35;90
2018;16. Hortaleza;16. Hortaleza;;;;;
2018;16. Hortaleza;16. Hortaleza;94;442;565;348;1.303
2018;16. Hortaleza;161. Palomas;0;0;3;13;46
2018;16. Hortaleza;162. Piovera;2;5;12;21;106
2018;16. Hortaleza;163. Canillas;19;61;118;101;61
2018;16. Hortaleza;164. Pinar del Rey;20;268;166;114;59
2018;16. Hortaleza;165. Apóstol Santiago;1;11;49;26;44
2018;16. Hortaleza;166. Valdefuentes;52;97;217;73;987
2018;17. Villaverde;17. Villaverde;;;;;
2018;17. Villaverde;17. Villaverde;80;627;545;308;225
2018;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;22;240;177;86;112
2018;17. Villaverde;172. San Cristóbal;0;127;110;7;4
2018;17. Villaverde;173. Butarque;41;57;52;38;29
2018;17. Villaverde;174. Los Rosales;17;119;91;44;27
2018;17. Villaverde;175. Ángeles;0;84;115;133;53
2018;18. Villa de Vallecas;18. Villa de Vallecas;;;;;
2018;18. Villa de Vallecas;18. Villa de Vallecas;66;446;377;404;245
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;26;136;114;34;16
2018;18. Villa de Vallecas;182. Santa Eugenia;0;16;14;105;33
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;40;294;249;265;196
2018;19. Vicálvaro;19. Vicálvaro;;;;;
2018;19. Vicálvaro;19. Vicálvaro;18;175;175;149;252
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;18;170;87;27;9
2018;19. Vicálvaro;192. Valdebernardo;0;1;14;36;13
2018;19. Vicálvaro;193. Valderribas;0;4;35;23;38
2018;19. Vicálvaro;194. El Cañaveral;0;0;39;63;192
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;;
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;139;510;336;399;359
2018;20. San Blas-Canillejas;201. Simancas;126;101;81;77;113
2018;20. San Blas-Canillejas;202. Hellín;0;41;39;19;45
2018;20. San Blas-Canillejas;203. Amposta;0;119;13;16;3
2018;20. San Blas-Canillejas;204. Arcos;1;115;37;78;9
2018;20. San Blas-Canillejas;205. Rosas;1;23;34;61;51
2018;20. San Blas-Canillejas;206. Rejas;1;21;23;72;54
2018;20. San Blas-Canillejas;207. Canillejas;10;72;94;53;37
2018;20. San Blas-Canillejas;208. El Salvador;0;18;15;23;47
2018;21. Barajas;21. Barajas;;;;;
2018;21. Barajas;21. Barajas;21;66;177;106;225
2018;21. Barajas;211. Alameda de Osuna;11;1;43;30;131
2018;21. Barajas;212. Aeropuerto;0;17;2;0;0
2018;21. Barajas;213. Casco Histórico de Barajas;6;24;34;25;10
2018;21. Barajas;214. Timón;3;14;87;33;18
2018;21. Barajas;215. Corralejos;1;10;11;18;66
2019;01. Centro;01. Centro;;;;;
2019;01. Centro;01. Centro;654;594;426;259;413
2019;01. Centro;011. Palacio;57;58;46;22;30
2019;01. Centro;012. Embajadores;346;265;122;83;64
2019;01. Centro;013. Cortes;36;55;49;21;37
2019;01. Centro;014. Justicia;67;64;55;50;123
2019;01. Centro;015. Universidad;141;137;135;69;130
2019;01. Centro;016. Sol;7;15;19;14;29
2019;02. Arganzuela;02. Arganzuela;;;;;
2019;02. Arganzuela;02. Arganzuela;152;238;194;170;217
2019;02. Arganzuela;021. Imperial;16;22;27;23;36
2019;02. Arganzuela;022. Acacias;6;11;4;7;4
2019;02. Arganzuela;023. Chopera;11;43;8;23;9
2019;02. Arganzuela;024. Legazpi;2;16;27;24;27
2019;02. Arganzuela;025. Delicias;48;54;61;45;81
2019;02. Arganzuela;026. Palos de Moguer;69;89;67;48;57
2019;02. Arganzuela;027. Atocha;0;3;0;0;3
2019;03. Retiro;03. Retiro;;;;;
2019;03. Retiro;03. Retiro;82;261;243;209;377
2019;03. Retiro;031. Pacífico;46;56;67;55;49
2019;03. Retiro;032. Adelfas;11;125;68;53;53
2019;03. Retiro;033. Estrella;4;12;28;22;70
2019;03. Retiro;034. Ibiza;20;46;58;62;84
2019;03. Retiro;035. Los Jerónimos;1;7;6;4;62
2019;03. Retiro;036. Niño Jesús;0;15;16;13;59
2019;04. Salamanca;04. Salamanca;;;;;
2019;04. Salamanca;04. Salamanca;217;287;261;202;557
2019;04. Salamanca;041. Recoletos;15;10;16;10;110
2019;04. Salamanca;042. Goya;54;63;61;41;105
2019;04. Salamanca;043. Fuente del Berro;47;59;54;37;42
2019;04. Salamanca;044. Guindalera;56;91;82;77;138
2019;04. Salamanca;045. Lista;29;38;32;24;59
2019;04. Salamanca;046. Castellana;16;26;16;13;103
2019;05. Chamartín;05. Chamartín;;;;;
2019;05. Chamartín;05. Chamartín;95;252;357;244;485
2019;05. Chamartín;051. El Viso;2;25;25;28;93
2019;05. Chamartín;052. Prosperidad;46;88;121;66;59
2019;05. Chamartín;053. Ciudad Jardín;26;60;56;43;38
2019;05. Chamartín;054. Hispanoamérica;6;44;72;56;137
2019;05. Chamartín;055. Nueva España;13;27;46;31;100
2019;05. Chamartín;056. Castilla;2;8;37;20;58
2019;06. Tetuán;06. Tetuán;;;;;
2019;06. Tetuán;06. Tetuán;407;586;502;267;386
2019;06. Tetuán;061. Bellas Vistas;87;109;82;29;30
2019;06. Tetuán;062. Cuatro Caminos;90;98;92;73;158
2019;06. Tetuán;063. Castillejos;34;65;66;38;69
2019;06. Tetuán;064. Almenara;39;50;64;59;78
2019;06. Tetuán;065. Valdeacederas;84;138;113;33;28
2019;06. Tetuán;066. Berruguete;73;126;85;35;23
2019;07. Chamberí;07. Chamberí;;;;;
2019;07. Chamberí;07. Chamberí;275;337;298;203;579
2019;07. Chamberí;071. Gaztambide;40;50;51;40;92
2019;07. Chamberí;072. Arapiles;47;87;60;36;63
2019;07. Chamberí;073. Trafalgar;81;88;54;40;87
2019;07. Chamberí;074. Almagro;29;22;30;17;147
2019;07. Chamberí;075. Ríos Rosas;59;69;54;47;100
2019;07. Chamberí;076. Vallehermoso;19;21;49;23;90
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;;
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;56;400;368;341;927
2019;08. Fuencarral-El Pardo;081. El Pardo;0;1;3;8;6
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;1;0;1;2;24
2019;08. Fuencarral-El Pardo;083. Peñagrande;8;78;105;55;101
2019;08. Fuencarral-El Pardo;084. Pilar;17;172;43;26;52
2019;08. Fuencarral-El Pardo;085. La Paz;3;8;20;29;92
2019;08. Fuencarral-El Pardo;086. Valverde;19;119;144;129;195
2019;08. Fuencarral-El Pardo;087. Mirasierra;1;14;22;57;366
2019;08. Fuencarral-El Pardo;088. El Goloso;7;8;30;35;91
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;;
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;50;151;222;134;466
2019;09. Moncloa-Aravaca;091. Casa de Campo;9;12;26;30;31
2019;09. Moncloa-Aravaca;092. Argüelles;25;40;37;25;108
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;7;18;19;11;46
2019;09. Moncloa-Aravaca;094. Valdezarza;7;56;125;41;65
2019;09. Moncloa-Aravaca;095. Valdemarín;0;1;1;4;56
2019;09. Moncloa-Aravaca;096. El Plantío;0;0;0;1;17
2019;09. Moncloa-Aravaca;097. Aravaca;2;24;14;22;143
2019;10. Latina;10. Latina;;;;;
2019;10. Latina;10. Latina;63;625;972;303;149
2019;10. Latina;101. Los Cármenes;6;40;52;32;16
2019;10. Latina;102. Puerta del Ángel;41;147;173;46;26
2019;10. Latina;103. Lucero;10;120;159;62;26
2019;10. Latina;104. Aluche;3;124;316;62;36
2019;10. Latina;105. Campamento;1;86;49;26;23
2019;10. Latina;106. Cuatro Vientos;0;14;7;3;4
2019;10. Latina;107. Águilas;2;94;216;72;18
2019;11. Carabanchel;11. Carabanchel;;;;;
2019;11. Carabanchel;11. Carabanchel;97;830;635;261;170
2019;11. Carabanchel;111. Comillas;7;59;49;23;5
2019;11. Carabanchel;112. Opañel;13;118;72;33;11
2019;11. Carabanchel;113. San Isidro;27;147;123;50;31
2019;11. Carabanchel;114. Vista Alegre;18;171;156;49;20
2019;11. Carabanchel;115. Puerta Bonita;15;136;96;20;23
2019;11. Carabanchel;116. Buenavista;12;140;81;57;70
2019;11. Carabanchel;117. Abrantes;5;59;58;29;10
2019;12. Usera;12. Usera;;;;;
2019;12. Usera;12. Usera;51;283;286;248;194
2019;12. Usera;121. Orcasitas;1;5;10;53;63
2019;12. Usera;122. Orcasur;1;6;33;29;53
2019;12. Usera;123. San Fermín;7;35;62;59;26
2019;12. Usera;124. Almendrales;6;66;53;24;24
2019;12. Usera;125. Moscardó;10;67;69;21;7
2019;12. Usera;126. Zofío;2;41;20;5;5
2019;12. Usera;127. Pradolongo;24;63;39;53;14
2019;13. Puente de Vallecas;13. Puente de Vallecas;;;;;
2019;13. Puente de Vallecas;13. Puente de Vallecas;305;865;555;387;247
2019;13. Puente de Vallecas;131. Entrevías;24;76;72;65;58
2019;13. Puente de Vallecas;132. San Diego;134;225;99;37;23
