AÑO;DISTRITO;BARRIO;Total viviendas
2017;16. Hortaleza;163. Canillas;314
2017;16. Hortaleza;164. Pinar del Rey;552
2017;16. Hortaleza;165. Apóstol Santiago;102
2017;16. Hortaleza;166. Valdefuentes;976
2017;17. Villaverde;17. Villaverde;
2017;17. Villaverde;17. Villaverde;1.308
2017;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;472
2017;17. Villaverde;172. San Cristóbal;209
2017;17. Villaverde;173. Butarque;118
2017;17. Villaverde;174. Los Rosales;250
2017;17. Villaverde;175. Ángeles;259
2017;18. Villa de Vallecas;18. Villa de Vallecas;
2017;18. Villa de Vallecas;18. Villa de Vallecas;1.284
2017;18. Villa de Vallecas;181. Casco Histórico de Vallecas;524
2017;18. Villa de Vallecas;182. Santa Eugenia;165
2017;18. Villa de Vallecas;183. Ensanche de Vallecas;564
2017;19. Vicálvaro;19. Vicálvaro;
2017;19. Vicálvaro;19. Vicálvaro;535
2017;19. Vicálvaro;191. Casco Histórico de Vicálvaro;343
2017;19. Vicálvaro;192. Valdebernardo;48
2017;19. Vicálvaro;193. Valderribas;76
2017;19. Vicálvaro;194. El Cañaveral;65
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;
2017;20. San Blas-Canillejas;20. San Blas-Canillejas;1.687
2017;20. San Blas-Canillejas;201. Simancas;419
2017;20. San Blas-Canillejas;202. Hellín;179
2017;20. San Blas-Canillejas;203. Amposta;151
2017;20. San Blas-Canillejas;204. Arcos;247
2017;20. San Blas-Canillejas;205. Rosas;152
2017;20. San Blas-Canillejas;206. Rejas;191
2017;20. San Blas-Canillejas;207. Canillejas;272
2017;20. San Blas-Canillejas;208. El Salvador;76
2017;21. Barajas;21. Barajas;
2017;21. Barajas;21. Barajas;406
2017;21. Barajas;211. Alameda de Osuna;158
2017;21. Barajas;212. Aeropuerto;18
2017;21. Barajas;213. Casco Histórico de Barajas;69
2017;21. Barajas;214. Timón;89
2017;21. Barajas;215. Corralejos;72
2018;01. Centro;01. Centro;
2018;01. Centro;01. Centro;2.649
2018;01. Centro;011. Palacio;227
2018;01. Centro;012. Embajadores;1.026
2018;01. Centro;013. Cortes;228
2018;01. Centro;014. Justicia;445
2018;01. Centro;015. Universidad;609
2018;01. Centro;016. Sol;114
2018;02. Arganzuela;02. Arganzuela;
2018;02. Arganzuela;02. Arganzuela;1.252
2018;02. Arganzuela;021. Imperial;160
2018;02. Arganzuela;022. Acacias;61
2018;02. Arganzuela;023. Chopera;229
2018;02. Arganzuela;024. Legazpi;177
2018;02. Arganzuela;025. Delicias;285
2018;02. Arganzuela;026. Palos de Moguer;336
2018;02. Arganzuela;027. Atocha;4
2018;03. Retiro;03. Retiro;
2018;03. Retiro;03. Retiro;1.298
2018;03. Retiro;031. Pacífico;372
2018;03. Retiro;032. Adelfas;159
2018;03. Retiro;033. Estrella;190
2018;03. Retiro;034. Ibiza;333
2018;03. Retiro;035. Los Jerónimos;116
2018;03. Retiro;036. Niño Jesús;128
2018;04. Salamanca;04. Salamanca;
2018;04. Salamanca;04. Salamanca;2.115
2018;04. Salamanca;041. Recoletos;248
2018;04. Salamanca;042. Goya;420
2018;04. Salamanca;043. Fuente del Berro;301
2018;04. Salamanca;044. Guindalera;593
2018;04. Salamanca;045. Lista;336
2018;04. Salamanca;046. Castellana;217
2018;05. Chamartín;05. Chamartín;
2018;05. Chamartín;05. Chamartín;1.531
2018;05. Chamartín;051. El Viso;190
2018;05. Chamartín;052. Prosperidad;419
2018;05. Chamartín;053. Ciudad Jardín;281
2018;05. Chamartín;054. Hispanoamérica;297
2018;05. Chamartín;055. Nueva España;202
2018;05. Chamartín;056. Castilla;142
2018;06. Tetuán;06. Tetuán;
2018;06. Tetuán;06. Tetuán;2.475
2018;06. Tetuán;061. Bellas Vistas;463
2018;06. Tetuán;062. Cuatro Caminos;484
2018;06. Tetuán;063. Castillejos;282
2018;06. Tetuán;064. Almenara;570
2018;06. Tetuán;065. Valdeacederas;373
2018;06. Tetuán;066. Berruguete;303
2018;07. Chamberí;07. Chamberí;
2018;07. Chamberí;07. Chamberí;1.931
2018;07. Chamberí;071. Gaztambide;313
2018;07. Chamberí;072. Arapiles;366
2018;07. Chamberí;073. Trafalgar;396
2018;07. Chamberí;074. Almagro;253
2018;07. Chamberí;075. Ríos Rosas;394
2018;07. Chamberí;076. Vallehermoso;209
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;2.270
2018;08. Fuencarral-El Pardo;081. El Pardo;45
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;37
2018;08. Fuencarral-El Pardo;083. Peñagrande;501
2018;08. Fuencarral-El Pardo;084. Pilar;209
2018;08. Fuencarral-El Pardo;085. La Paz;198
2018;08. Fuencarral-El Pardo;086. Valverde;674
2018;08. Fuencarral-El Pardo;087. Mirasierra;360
2018;08. Fuencarral-El Pardo;088. El Goloso;246
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;1.606
2018;09. Moncloa-Aravaca;091. Casa de Campo;119
2018;09. Moncloa-Aravaca;092. Argüelles;361
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;146
2018;09. Moncloa-Aravaca;094. Valdezarza;326
2018;09. Moncloa-Aravaca;095. Valdemarín;109
2018;09. Moncloa-Aravaca;096. El Plantío;24
2018;09. Moncloa-Aravaca;097. Aravaca;521
2018;10. Latina;10. Latina;
2018;10. Latina;10. Latina;2.498
2018;10. Latina;101. Los Cármenes;165
2018;10. Latina;102. Puerta del Ángel;551
2018;10. Latina;103. Lucero;426
2018;10. Latina;104. Aluche;692
2018;10. Latina;105. Campamento;207
2018;10. Latina;106. Cuatro Vientos;31
2018;10. Latina;107. Águilas;424
2018;11. Carabanchel;11. Carabanchel;
2018;11. Carabanchel;11. Carabanchel;2.276
2018;11. Carabanchel;111. Comillas;145
2018;11. Carabanchel;112. Opañel;286
2018;11. Carabanchel;113. San Isidro;451
2018;11. Carabanchel;114. Vista Alegre;511
2018;11. Carabanchel;115. Puerta Bonita;273
2018;11. Carabanchel;116. Buenavista;428
2018;11. Carabanchel;117. Abrantes;182
2018;12. Usera;12. Usera;
2018;12. Usera;12. Usera;1.332
2018;12. Usera;121. Orcasitas;191
2018;12. Usera;122. Orcasur;132
2018;12. Usera;123. San Fermín;222
2018;12. Usera;124. Almendrales;211
2018;12. Usera;125. Moscardó;241
2018;12. Usera;126. Zofío;96
2018;12. Usera;127. Pradolongo;238
2018;13. Puente de Vallecas;13. Puente de Vallecas;
2018;13. Puente de Vallecas;13. Puente de Vallecas;2.693
2018;13. Puente de Vallecas;131. Entrevías;409
2018;13. Puente de Vallecas;132. San Diego;679
2018;13. Puente de Vallecas;133. Palomeras Bajas;314
2018;13. Puente de Vallecas;134. Palomeras Sureste;410
2018;13. Puente de Vallecas;135. Portazgo;273
2018;13. Puente de Vallecas;136. Numancia;608
2018;14. Moratalaz;14. Moratalaz;
2018;14. Moratalaz;14. Moratalaz;728
2018;14. Moratalaz;141. Pavones;72
2018;14. Moratalaz;142. Horcajo;23
2018;14. Moratalaz;143. Marroquina;147
2018;14. Moratalaz;144. Media Legua;144
2018;14. Moratalaz;145. Fontarrón;189
2018;14. Moratalaz;146. Vinateros;153
2018;15. Ciudad Lineal;15. Ciudad Lineal;
2018;15. Ciudad Lineal;15. Ciudad Lineal;2.426
2018;15. Ciudad Lineal;151. Ventas;224
2018;15. Ciudad Lineal;152. Pueblo Nuevo;144
2018;15. Ciudad Lineal;153. Quintana;80
2018;15. Ciudad Lineal;154. Concepción;25
2018;15. Ciudad Lineal;155. San Pascual;157
2018;15. Ciudad Lineal;156. San Juan Bautista;2.324
2018;15. Ciudad Lineal;157. Colina;65
2018;15. Ciudad Lineal;158. Atalaya;115
2018;15. Ciudad Lineal;159. Costillares;357
2018;16. Hortaleza;16. Hortaleza;
2018;16. Hortaleza;16. Hortaleza;2.752
2018;16. Hortaleza;161. Palomas;62
2018;16. Hortaleza;162. Piovera;146
2018;16. Hortaleza;163. Canillas;360
2018;16. Hortaleza;164. Pinar del Rey;627
2018;16. Hortaleza;165. Apóstol Santiago;131
2018;16. Hortaleza;166. Valdefuentes;1.426
2018;17. Villaverde;17. Villaverde;
2018;17. Villaverde;17. Villaverde;1.785
2018;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;637
2018;17. Villaverde;172. San Cristóbal;248
2018;17. Villaverde;173. Butarque;217
2018;17. Villaverde;174. Los Rosales;298
2018;17. Villaverde;175. Ángeles;385
2018;18. Villa de Vallecas;18. Villa de Vallecas;
2018;18. Villa de Vallecas;18. Villa de Vallecas;1.539
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;326
2018;18. Villa de Vallecas;182. Santa Eugenia;168
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;1.044
2018;19. Vicálvaro;19. Vicálvaro;
2018;19. Vicálvaro;19. Vicálvaro;772
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;311
2018;19. Vicálvaro;192. Valdebernardo;64
2018;19. Vicálvaro;193. Valderribas;100
2018;19. Vicálvaro;194. El Cañaveral;294
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;1.743
2018;20. San Blas-Canillejas;201. Simancas;498
2018;20. San Blas-Canillejas;202. Hellín;144
2018;20. San Blas-Canillejas;203. Amposta;151
2018;20. San Blas-Canillejas;204. Arcos;240
2018;20. San Blas-Canillejas;205. Rosas;170
2018;20. San Blas-Canillejas;206. Rejas;171
2018;20. San Blas-Canillejas;207. Canillejas;266
2018;20. San Blas-Canillejas;208. El Salvador;103
2018;21. Barajas;21. Barajas;
2018;21. Barajas;21. Barajas;595
2018;21. Barajas;211. Alameda de Osuna;216
2018;21. Barajas;212. Aeropuerto;19
2018;21. Barajas;213. Casco Histórico de Barajas;99
2018;21. Barajas;214. Timón;155
2018;21. Barajas;215. Corralejos;106
2019;01. Centro;01. Centro;
2019;01. Centro;01. Centro;2.346
2019;01. Centro;011. Palacio;213
2019;01. Centro;012. Embajadores;880
2019;01. Centro;013. Cortes;198
2019;01. Centro;014. Justicia;359
2019;01. Centro;015. Universidad;612
2019;01. Centro;016. Sol;84
2019;02. Arganzuela;02. Arganzuela;
2019;02. Arganzuela;02. Arganzuela;971
2019;02. Arganzuela;021. Imperial;124
2019;02. Arganzuela;022. Acacias;32
2019;02. Arganzuela;023. Chopera;94
2019;02. Arganzuela;024. Legazpi;96
2019;02. Arganzuela;025. Delicias;289
2019;02. Arganzuela;026. Palos de Moguer;330
2019;02. Arganzuela;027. Atocha;6
2019;03. Retiro;03. Retiro;
2019;03. Retiro;03. Retiro;1.172
2019;03. Retiro;031. Pacífico;273
2019;03. Retiro;032. Adelfas;310
2019;03. Retiro;033. Estrella;136
2019;03. Retiro;034. Ibiza;270
2019;03. Retiro;035. Los Jerónimos;80
2019;03. Retiro;036. Niño Jesús;103
2019;04. Salamanca;04. Salamanca;
2019;04. Salamanca;04. Salamanca;1.524
2019;04. Salamanca;041. Recoletos;161
2019;04. Salamanca;042. Goya;324
2019;04. Salamanca;043. Fuente del Berro;239
2019;04. Salamanca;044. Guindalera;444
2019;04. Salamanca;045. Lista;182
2019;04. Salamanca;046. Castellana;174
2019;05. Chamartín;05. Chamartín;
2019;05. Chamartín;05. Chamartín;1.433
2019;05. Chamartín;051. El Viso;173
2019;05. Chamartín;052. Prosperidad;380
2019;05. Chamartín;053. Ciudad Jardín;223
2019;05. Chamartín;054. Hispanoamérica;315
2019;05. Chamartín;055. Nueva España;217
2019;05. Chamartín;056. Castilla;125
2019;06. Tetuán;06. Tetuán;
2019;06. Tetuán;06. Tetuán;2.148
2019;06. Tetuán;061. Bellas Vistas;337
2019;06. Tetuán;062. Cuatro Caminos;511
2019;06. Tetuán;063. Castillejos;272
2019;06. Tetuán;064. Almenara;290
2019;06. Tetuán;065. Valdeacederas;396
2019;06. Tetuán;066. Berruguete;342
2019;07. Chamberí;07. Chamberí;
2019;07. Chamberí;07. Chamberí;1.692
2019;07. Chamberí;071. Gaztambide;273
2019;07. Chamberí;072. Arapiles;293
2019;07. Chamberí;073. Trafalgar;350
2019;07. Chamberí;074. Almagro;245
2019;07. Chamberí;075. Ríos Rosas;329
2019;07. Chamberí;076. Vallehermoso;202
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;2.092
2019;08. Fuencarral-El Pardo;081. El Pardo;18
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;28
2019;08. Fuencarral-El Pardo;083. Peñagrande;347
2019;08. Fuencarral-El Pardo;084. Pilar;310
2019;08. Fuencarral-El Pardo;085. La Paz;152
2019;08. Fuencarral-El Pardo;086. Valverde;606
2019;08. Fuencarral-El Pardo;087. Mirasierra;460
2019;08. Fuencarral-El Pardo;088. El Goloso;171
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2019;09. Moncloa-Aravaca;09. Moncloa-Aravaca;1.023
2019;09. Moncloa-Aravaca;091. Casa de Campo;108
2019;09. Moncloa-Aravaca;092. Argüelles;235
2019;09. Moncloa-Aravaca;093. Ciudad Universitaria;101
2019;09. Moncloa-Aravaca;094. Valdezarza;294
2019;09. Moncloa-Aravaca;095. Valdemarín;62
2019;09. Moncloa-Aravaca;096. El Plantío;18
2019;09. Moncloa-Aravaca;097. Aravaca;205
2019;10. Latina;10. Latina;
2019;10. Latina;10. Latina;2.112
2019;10. Latina;101. Los Cármenes;146
2019;10. Latina;102. Puerta del Ángel;433
2019;10. Latina;103. Lucero;377
2019;10. Latina;104. Aluche;541
2019;10. Latina;105. Campamento;185
2019;10. Latina;106. Cuatro Vientos;28
2019;10. Latina;107. Águilas;402
2019;11. Carabanchel;11. Carabanchel;
2019;11. Carabanchel;11. Carabanchel;1.993
2019;11. Carabanchel;111. Comillas;143
2019;11. Carabanchel;112. Opañel;247
2019;11. Carabanchel;113. San Isidro;378
2019;11. Carabanchel;114. Vista Alegre;414
2019;11. Carabanchel;115. Puerta Bonita;290
2019;11. Carabanchel;116. Buenavista;360
2019;11. Carabanchel;117. Abrantes;161
2019;12. Usera;12. Usera;
2019;12. Usera;12. Usera;1.062
2019;12. Usera;121. Orcasitas;132
2019;12. Usera;122. Orcasur;122
2019;12. Usera;123. San Fermín;189
2019;12. Usera;124. Almendrales;173
2019;12. Usera;125. Moscardó;174
2019;12. Usera;126. Zofío;73
2019;12. Usera;127. Pradolongo;193
2019;13. Puente de Vallecas;13. Puente de Vallecas;
2019;13. Puente de Vallecas;13. Puente de Vallecas;2.359
2019;13. Puente de Vallecas;131. Entrevías;295
2019;13. Puente de Vallecas;132. San Diego;518
2019;13. Puente de Vallecas;133. Palomeras Bajas;331
2019;13. Puente de Vallecas;134. Palomeras Sureste;391
2019;13. Puente de Vallecas;135. Portazgo;284
2019;13. Puente de Vallecas;136. Numancia;540
2019;14. Moratalaz;14. Moratalaz;
2019;14. Moratalaz;14. Moratalaz;664
2019;14. Moratalaz;141. Pavones;57
2019;14. Moratalaz;142. Horcajo;15
2019;14. Moratalaz;143. Marroquina;157
2019;14. Moratalaz;144. Media Legua;133
2019;14. Moratalaz;145. Fontarrón;172
2019;14. Moratalaz;146. Vinateros;130
2019;15. Ciudad Lineal;15. Ciudad Lineal;
2019;15. Ciudad Lineal;15. Ciudad Lineal;2.092
2019;15. Ciudad Lineal;151. Ventas;519
2019;15. Ciudad Lineal;152. Pueblo Nuevo;578
2019;15. Ciudad Lineal;153. Quintana;264
2019;15. Ciudad Lineal;154. Concepción;205
2019;15. Ciudad Lineal;155. San Pascual;142
2019;15. Ciudad Lineal;156. San Juan Bautista;125
2019;15. Ciudad Lineal;157. Colina;77
2019;15. Ciudad Lineal;158. Atalaya;23
2019;15. Ciudad Lineal;159. Costillares;159
2019;16. Hortaleza;16. Hortaleza;
2019;16. Hortaleza;16. Hortaleza;2.256
2019;16. Hortaleza;161. Palomas;53
2019;16. Hortaleza;162. Piovera;104
2019;16. Hortaleza;163. Canillas;299
2019;16. Hortaleza;164. Pinar del Rey;628
2019;16. Hortaleza;165. Apóstol Santiago;120
2019;16. Hortaleza;166. Valdefuentes;1.052
2019;17. Villaverde;17. Villaverde;
2019;17. Villaverde;17. Villaverde;2.251
2019;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;438
2019;17. Villaverde;172. San Cristóbal;293
2019;17. Villaverde;173. Butarque;536
2019;17. Villaverde;174. Los Rosales;291
2019;17. Villaverde;175. Ángeles;693
2019;18. Villa de Vallecas;18. Villa de Vallecas;
2019;18. Villa de Vallecas;18. Villa de Vallecas;1.663
2019;18. Villa de Vallecas;181. Casco Histórico de Vallecas;321
2019;18. Villa de Vallecas;182. Santa Eugenia;202
2019;18. Villa de Vallecas;183. Ensanche de Vallecas;1.085
2019;19. Vicálvaro;19. Vicálvaro;
2019;19. Vicálvaro;19. Vicálvaro;955
2019;19. Vicálvaro;191. Casco Histórico de Vicálvaro;273
2019;19. Vicálvaro;192. Valdebernardo;45
2019;19. Vicálvaro;193. Valderribas;68
2019;19. Vicálvaro;194. El Cañaveral;568
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;
2019;20. San Blas-Canillejas;20. San Blas-Canillejas;1.757
2019;20. San Blas-Canillejas;201. Simancas;380
2019;20. San Blas-Canillejas;202. Hellín;130
2019;20. San Blas-Canillejas;203. Amposta;136
2019;20. San Blas-Canillejas;204. Arcos;206
2019;20. San Blas-Canillejas;205. Rosas;137
2019;20. San Blas-Canillejas;206. Rejas;371
2019;20. San Blas-Canillejas;207. Canillejas;312
2019;20. San Blas-Canillejas;208. El Salvador;85
2019;21. Barajas;21. Barajas;
2019;21. Barajas;21. Barajas;563
2019;21. Barajas;211. Alameda de Osuna;288
2019;21. Barajas;212. Aeropuerto;14
2019;21. Barajas;213. Casco Histórico de Barajas;72
2019;21. Barajas;214. Timón;125
2019;21. Barajas;215. Corralejos;64
2020;01. Centro;01. Centro;
2020;01. Centro;01. Centro;1.664
2020;01. Centro;011. Palacio;145
2020;01. Centro;012. Embajadores;646
2020;01. Centro;013. Cortes;113
2020;01. Centro;014. Justicia;218
2020;01. Centro;015. Universidad;466
2020;01. Centro;016. Sol;76
2020;02. Arganzuela;02. Arganzuela;
2020;02. Arganzuela;02. Arganzuela;931
2020;02. Arganzuela;021. Imperial;170
2020;02. Arganzuela;022. Acacias;67
2020;02. Arganzuela;023. Chopera;75
2020;02. Arganzuela;024. Legazpi;95
2020;02. Arganzuela;025. Delicias;249
2020;02. Arganzuela;026. Palos de Moguer;181
2020;02. Arganzuela;027. Atocha;94
2020;03. Retiro;03. Retiro;
2020;03. Retiro;03. Retiro;776
2020;03. Retiro;031. Pacífico;204
2020;03. Retiro;032. Adelfas;132
2020;03. Retiro;033. Estrella;116
2020;03. Retiro;034. Ibiza;182
2020;03. Retiro;035. Los Jerónimos;65
2020;03. Retiro;036. Niño Jesús;77
2020;04. Salamanca;04. Salamanca;
2020;04. Salamanca;04. Salamanca;1.379
2020;04. Salamanca;041. Recoletos;90
2020;04. Salamanca;042. Goya;294
2020;04. Salamanca;043. Fuente del Berro;194
2020;04. Salamanca;044. Guindalera;512
2020;04. Salamanca;045. Lista;169
2020;04. Salamanca;046. Castellana;120
2020;05. Chamartín;05. Chamartín;
2020;05. Chamartín;05. Chamartín;1.087
2020;05. Chamartín;051. El Viso;165
2020;05. Chamartín;052. Prosperidad;313
2020;05. Chamartín;053. Ciudad Jardín;123
2020;05. Chamartín;054. Hispanoamérica;217
2020;05. Chamartín;055. Nueva España;156
2020;05. Chamartín;056. Castilla;113
2020;06. Tetuán;06. Tetuán;
2020;06. Tetuán;06. Tetuán;1.629
2020;06. Tetuán;061. Bellas Vistas;223
2020;06. Tetuán;062. Cuatro Caminos;347
2020;06. Tetuán;063. Castillejos;179
2020;06. Tetuán;064. Almenara;314
2020;06. Tetuán;065. Valdeacederas;342
2020;06. Tetuán;066. Berruguete;224
2020;07. Chamberí;07. Chamberí;
2020;07. Chamberí;07. Chamberí;1.153
2020;07. Chamberí;071. Gaztambide;235
2020;07. Chamberí;072. Arapiles;224
2020;07. Chamberí;073. Trafalgar;189
2020;07. Chamberí;074. Almagro;157
2020;07. Chamberí;075. Ríos Rosas;204
2020;07. Chamberí;076. Vallehermoso;144
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;
2020;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;1.569
2020;08. Fuencarral-El Pardo;081. El Pardo;19
2020;08. Fuencarral-El Pardo;082. Fuentelarreina;31
2020;08. Fuencarral-El Pardo;083. Peñagrande;326
2020;08. Fuencarral-El Pardo;084. Pilar;289
2020;08. Fuencarral-El Pardo;085. La Paz;111
2020;08. Fuencarral-El Pardo;086. Valverde;378
2020;08. Fuencarral-El Pardo;087. Mirasierra;245
2020;08. Fuencarral-El Pardo;088. El Goloso;170
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;
2020;09. Moncloa-Aravaca;09. Moncloa-Aravaca;938
2020;09. Moncloa-Aravaca;091. Casa de Campo;88
2020;09. Moncloa-Aravaca;092. Argüelles;189
2020;09. Moncloa-Aravaca;093. Ciudad Universitaria;73
2020;09. Moncloa-Aravaca;094. Valdezarza;264
2020;09. Moncloa-Aravaca;095. Valdemarín;67
2020;09. Moncloa-Aravaca;096. El Plantío;62
2020;09. Moncloa-Aravaca;097. Aravaca;195
