AÑO;DISTRITO;BARRIO;A Agricultura, ganadería, silvicultura y pesca;B Industrias extractivas;C Industria manufacturera;D Suministro de energía eléctrica, gas, vapor y aire acondicionado;E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;F Construcción;"G Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";H Transporte y almacenamiento;I Hostelería;J Información y comunicaciones;K Actividades financieras y de seguros;L Actividades inmobiliarias;M Actividades profesionales, científicas y técnicas;N Actividades administrativas y servicios auxiliares;"O Administración Pública y defensa; Seguridad Social obligatoria";P Educación;Q Actividades sanitarias y de servicios sociales;R Actividades artísticas, recreativas y de entretenimiento;S Otros servicios;T Actividades empleos de personal doméstico y/o productora de servicios;U Actividades de organizaciones y organismos extraterritoriales;Z No consta
2018;02. Arganzuela;02. Arganzuela;50;76;2.652;254;188;2.040;8.037;2.511;4.048;6.790;3.375;714;7.722;5.171;3.681;6.023;6.534;1.604;1.723;2.396;52;26
2018;02. Arganzuela;021. Imperial;6;2;384;36;31;268;1.106;357;516;1.022;533;103;1.157;680;644;921;922;262;233;228;12;2
2018;02. Arganzuela;022. Acacias;14;5;584;68;42;415;1.871;523;753;1.598;814;163;1.970;1.061;974;1.506;1.606;417;382;358;13;5
2018;02. Arganzuela;023. Chopera;4;1;283;24;24;338;970;355;689;700;258;96;800;797;364;706;789;223;256;556;5;3
2018;02. Arganzuela;024. Legazpi;4;17;466;47;39;297;1.255;342;423;1.142;686;93;1.190;638;534;724;976;178;207;143;5;5
2018;02. Arganzuela;025. Delicias;7;31;524;42;26;386;1.534;478;735;1.271;653;113;1.319;908;591;1.083;1.150;266;314;501;7;3
2018;02. Arganzuela;026. Palos de Moguer;15;19;389;35;26;315;1.250;432;907;1.018;418;139;1.231;1.039;500;1.043;1.045;249;318;602;9;7
2018;02. Arganzuela;027. Atocha;0;1;22;2;0;21;50;24;25;39;13;7;55;48;74;40;46;9;13;8;1;1
2018;03. Retiro;03. Retiro;;;;;;;;;;;;;;;;;;;;;;
2018;03. Retiro;03. Retiro;49;52;1.697;219;140;1.304;5.446;1.532;1.873;4.461;2.988;730;6.841;3.229;2.401;4.234;4.701;987;1.168;1.870;34;9
2018;03. Retiro;031. Pacífico;9;13;457;39;39;378;1.604;500;645;1.301;703;181;1.821;994;770;1.235;1.405;291;392;541;9;1
2018;03. Retiro;032. Adelfas;2;12;348;50;32;231;989;296;323;845;515;72;1.001;564;459;637;815;147;179;199;5;1
2018;03. Retiro;033. Estrella;10;7;357;38;22;246;932;267;231;856;653;118;1.291;566;422;891;907;164;194;250;3;0
2018;03. Retiro;034. Ibiza;9;8;272;43;27;218;984;256;444;757;524;162;1.267;569;362;741;804;185;217;456;10;2
2018;03. Retiro;035. Los Jerónimos;9;8;73;13;6;61;244;61;80;190;174;69;487;185;136;199;172;73;66;157;1;1
2018;03. Retiro;036. Niño Jesús;10;4;190;36;14;170;693;152;150;512;419;128;974;351;252;531;598;127;120;267;6;4
2018;04. Salamanca;04. Salamanca;;;;;;;;;;;;;;;;;;;;;;
2018;04. Salamanca;04. Salamanca;87;50;1.853;254;119;1.471;6.886;1.521;2.525;5.197;4.071;1.225;9.800;4.145;2.181;4.266;4.586;1.098;1.586;3.602;71;17
2018;04. Salamanca;041. Recoletos;14;4;150;27;6;131;685;96;179;411;517;238;1.164;400;149;329;289;92;204;499;3;5
2018;04. Salamanca;042. Goya;14;16;398;43;28;286;1.434;328;540;992;837;235;2.030;818;449;870;1.059;242;278;671;14;1
2018;04. Salamanca;043. Fuente del Berro;8;6;307;30;13;250;1.099;257;443;879;474;111;1.176;711;386;685;830;163;237;429;5;4
2018;04. Salamanca;044. Guindalera;16;19;597;65;49;447;1.965;544;802;1.789;1.059;226;2.562;1.320;732;1.441;1.396;339;461;872;27;3
2018;04. Salamanca;045. Lista;5;2;274;52;15;194;1.008;190;366;700;539;188;1.566;527;291;577;666;172;211;489;8;4
2018;04. Salamanca;046. Castellana;30;3;127;37;8;163;695;106;195;426;645;227;1.302;369;174;364;346;90;195;642;14;0
2018;05. Chamartín;05. Chamartín;;;;;;;;;;;;;;;;;;;;;;
2018;05. Chamartín;05. Chamartín;85;55;1.881;376;109;1.570;6.755;1.623;2.301;5.338;4.646;1.153;10.625;4.258;2.091;4.493;4.239;1.029;1.488;3.281;75;8
2018;05. Chamartín;051. El Viso;28;7;153;38;9;208;718;121;177;410;680;251;1.568;484;160;407;333;121;177;695;6;2
2018;05. Chamartín;052. Prosperidad;11;14;551;82;26;390;1.785;496;764;1.601;954;193;2.257;1.183;652;1.269;1.259;251;419;712;19;2
2018;05. Chamartín;053. Ciudad Jardín;9;3;245;39;18;211;913;245;459;695;455;103;1.219;669;293;645;603;157;202;427;9;4
2018;05. Chamartín;054. Hispanoamérica;12;17;383;90;24;331;1.463;283;385;1.092;1.075;224;2.389;768;445;909;848;211;311;615;16;0
2018;05. Chamartín;055. Nueva España;22;8;309;80;17;278;1.113;234;256;850;962;252;2.031;625;269;672;621;168;216;589;12;0
2018;05. Chamartín;056. Castilla;3;6;240;47;15;152;763;244;260;690;520;130;1.160;529;272;591;575;121;163;243;13;0
2018;06. Tetuán;06. Tetuán;;;;;;;;;;;;;;;;;;;;;;
2018;06. Tetuán;06. Tetuán;41;32;1.985;189;199;2.408;8.065;2.299;6.457;5.627;2.716;764;7.324;6.373;2.207;4.084;4.970;1.092;1.929;6.308;69;25
2018;06. Tetuán;061. Bellas Vistas;8;6;301;25;27;426;1.332;411;1.522;904;358;105;1.130;1.151;369;822;999;215;426;1.436;12;4
2018;06. Tetuán;062. Cuatro Caminos;9;12;420;74;35;410;1.587;380;1.016;1.336;838;215;2.176;1.075;567;897;1.003;251;359;1.123;13;3
2018;06. Tetuán;063. Castillejos;4;6;262;34;28;238;983;232;571;824;544;153;1.347;655;296;482;647;119;205;547;8;2
2018;06. Tetuán;064. Almenara;8;1;299;17;24;360;1.260;400;782;732;305;93;819;1.159;309;533;719;149;277;733;8;6
2018;06. Tetuán;065. Valdeacederas;5;3;397;17;39;514;1.543;481;1.267;1.004;331;95;937;1.265;324;665;802;204;352;1.211;13;5
2018;06. Tetuán;066. Berruguete;7;4;306;22;46;460;1.360;395;1.299;827;340;103;915;1.068;342;685;800;154;310;1.258;15;5
2018;07. Chamberí;07. Chamberí;;;;;;;;;;;;;;;;;;;;;;
2018;07. Chamberí;07. Chamberí;72;43;1.577;256;154;1.282;6.079;1.214;2.664;5.104;3.546;1.052;9.882;3.987;2.415;4.676;4.752;1.100;1.540;3.369;60;14
2018;07. Chamberí;071. Gaztambide;11;4;230;35;19;192;956;214;452;817;449;143;1.372;613;424;805;994;187;220;533;9;1
2018;07. Chamberí;072. Arapiles;9;7;287;36;29;238;1.060;224;523;944;572;141;1.639;757;484;909;891;195;255;539;9;3
2018;07. Chamberí;073. Trafalgar;7;8;324;42;23;234;1.234;237;608;1.064;646;167;1.862;750;471;898;833;238;305;492;9;2
2018;07. Chamberí;074. Almagro;25;11;176;30;9;202;778;142;350;599;626;255;1.618;522;217;526;442;157;265;703;10;2
2018;07. Chamberí;075. Ríos Rosas;7;8;337;65;42;257;1.258;271;506;1.051;794;211;2.052;872;436;829;887;180;285;647;12;4
2018;07. Chamberí;076. Vallehermoso;13;5;222;48;32;159;793;126;225;629;459;135;1.339;473;383;709;705;143;210;455;11;2
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;;;;;;;;;;;;;;;;;;;;;;
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;84;65;3.583;470;327;3.490;12.647;3.690;4.694;9.907;6.308;1.244;12.634;8.555;3.845;7.716;9.142;1.728;2.308;4.052;83;25
2018;08. Fuencarral-El Pardo;081. El Pardo;3;0;35;0;5;24;156;33;80;69;42;10;93;148;231;113;83;26;21;22;0;0
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;12;1;31;7;1;34;121;16;24;86;103;36;211;69;32;81;53;16;29;113;0;0
2018;08. Fuencarral-El Pardo;083. Peñagrande;15;10;663;55;48;615;2.299;678;871;1.567;916;221;2.020;1.594;753;1.349;1.806;339;473;739;11;4
2018;08. Fuencarral-El Pardo;084. Pilar;8;2;607;40;66;677;2.529;747;1.324;1.519;738;172;1.655;2.009;609;1.228;1.778;321;535;1.338;14;4
2018;08. Fuencarral-El Pardo;085. La Paz;13;10;487;65;32;346;1.469;413;422;1.292;815;151;1.855;821;556;1.121;1.512;245;298;291;14;2
2018;08. Fuencarral-El Pardo;086. Valverde;17;17;965;137;109;1.089;3.544;1.165;1.432;3.210;1.871;300;3.331;2.598;821;1.833;2.121;413;556;1.137;24;8
2018;08. Fuencarral-El Pardo;087. Mirasierra;7;13;485;94;36;410;1.534;399;331;1.265;1.105;231;2.226;844;533;1.259;1.211;237;255;339;13;4
2018;08. Fuencarral-El Pardo;088. El Goloso;9;12;310;72;30;295;995;239;210;899;718;123;1.243;472;310;732;578;131;141;73;7;3
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;;;;;;;;;;;;;;;;;;;;;;
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;62;40;1.498;190;132;1.386;5.302;1.381;2.127;3.890;2.904;837;6.728;3.401;2.006;3.992;3.989;1.031;1.227;2.666;55;18
2018;09. Moncloa-Aravaca;091. Casa de Campo;8;3;152;19;13;135;525;163;237;524;268;67;655;368;325;574;514;152;101;134;7;2
2018;09. Moncloa-Aravaca;092. Argüelles;12;11;272;38;18;221;1.030;195;504;789;506;197;1.442;638;452;839;772;225;319;573;7;4
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;7;3;196;35;17;167;635;128;200;492;362;108;945;393;273;595;502;138;154;338;14;2
2018;09. Moncloa-Aravaca;094. Valdezarza;9;4;419;24;45;396;1.456;587;771;900;465;93;1.208;1.069;491;934;1.123;252;333;661;13;7
2018;09. Moncloa-Aravaca;095. Valdemarín;3;5;79;10;8;93;307;54;55;175;293;97;501;166;39;139;226;43;62;192;1;0
2018;09. Moncloa-Aravaca;096. El Plantío;8;0;31;8;2;53;128;22;21;91;82;32;185;77;24;75;93;16;27;80;0;1
2018;09. Moncloa-Aravaca;097. Aravaca;15;14;349;56;29;321;1.221;232;339;919;928;243;1.792;690;401;836;759;205;231;688;13;2
2018;10. Latina;10. Latina;;;;;;;;;;;;;;;;;;;;;;
2018;10. Latina;10. Latina;75;11;3.089;124;394;4.512;12.448;4.764;7.555;5.948;2.755;700;6.222;10.290;4.541;5.961;7.818;1.718;2.428;7.916;53;58
2018;10. Latina;101. Los Cármenes;7;0;247;14;32;377;1.001;395;523;430;187;42;421;764;350;412;583;150;216;459;5;8
2018;10. Latina;102. Puerta del Ángel;13;2;502;18;46;770;2.177;748;1.704;1.060;468;122;1.235;1.904;720;1.128;1.349;399;504;1.564;17;14
2018;10. Latina;103. Lucero;8;1;459;22;49;739;1.942;704;1.197;879;423;116;998;1.557;674;906;1.225;229;364;1.240;6;12
2018;10. Latina;104. Aluche;20;4;820;31;101;1.236;3.260;1.247;1.878;1.584;745;201;1.612;2.739;1.102;1.590;2.135;401;610;2.448;16;8
2018;10. Latina;105. Campamento;9;2;206;11;28;339;905;334;653;508;192;58;468;782;330;469;534;141;152;818;1;4
2018;10. Latina;106. Cuatro Vientos;3;0;121;4;13;114;386;141;138;247;170;27;262;251;194;199;241;51;60;44;2;2
2018;10. Latina;107. Águilas;15;2;734;24;125;937;2.777;1.194;1.462;1.240;569;134;1.226;2.293;1.171;1.257;1.751;347;522;1.342;6;10
2018;11. Carabanchel;11. Carabanchel;;;;;;;;;;;;;;;;;;;;;;
2018;11. Carabanchel;11. Carabanchel;73;12;3.707;142;427;5.760;14.428;5.606;9.165;5.601;2.599;744;6.017;11.966;4.039;5.626;8.617;1.773;2.918;8.557;48;57
2018;11. Carabanchel;111. Comillas;5;2;279;19;23;409;1.153;409;862;507;232;86;633;1.022;360;569;699;178;297;655;4;7
2018;11. Carabanchel;112. Opañel;12;3;488;20;51;665;1.817;652;1.286;725;326;100;903;1.471;491;772;1.161;263;461;1.257;8;7
2018;11. Carabanchel;113. San Isidro;13;4;511;16;67;867;2.126;804;1.572;851;369;92;901;1.912;549;841;1.238;286;426;1.442;6;14
2018;11. Carabanchel;114. Vista Alegre;9;0;585;16;63;1.087;2.476;911;1.730;838;353;133;935;2.168;666;945;1.504;316;471;1.932;6;6
2018;11. Carabanchel;115. Puerta Bonita;12;1;506;16;55;877;1.891;756;1.383;597;274;78;673;1.740;435;627;1.106;237;379;1.256;6;12
2018;11. Carabanchel;116. Buenavista;14;2;895;39;112;1.109;3.186;1.370;1.264;1.433;716;160;1.361;2.214;1.110;1.322;1.885;294;581;900;11;9
2018;11. Carabanchel;117. Abrantes;8;0;443;16;56;746;1.779;704;1.068;650;329;95;611;1.438;428;550;1.023;199;303;1.115;7;2
2018;12. Usera;12. Usera;;;;;;;;;;;;;;;;;;;;;;
2018;12. Usera;12. Usera;32;3;2.179;60;317;3.395;8.799;3.194;5.339;2.492;992;337;2.609;7.057;1.592;2.403;4.317;899;1.818;4.530;37;32
2018;12. Usera;121. Orcasitas;0;0;427;12;78;562;1.522;709;609;455;178;55;444;1.196;338;456;781;150;279;331;3;2
2018;12. Usera;122. Orcasur;4;1;206;4;63;338;865;309;446;252;90;28;242;832;146;221;426;65;153;320;6;2
2018;12. Usera;123. San Fermín;3;0;338;15;62;542;1.536;615;847;494;204;61;452;1.327;285;427;735;144;272;628;5;6
2018;12. Usera;124. Almendrales;8;1;324;11;27;531;1.280;423;1.009;379;156;46;431;1.009;219;355;669;150;270;779;6;5
2018;12. Usera;125. Moscardó;15;1;373;13;36;628;1.549;490;1.054;490;202;77;567;1.230;299;464;803;208;384;1.115;8;9
2018;12. Usera;126. Zofío;1;0;187;3;19;361;824;310;575;220;94;30;244;713;186;257;475;85;172;571;5;3
2018;12. Usera;127. Pradolongo;1;0;324;2;32;433;1.222;338;799;202;68;40;229;750;119;222;428;97;288;786;4;5
2018;13. Puente de Vallecas;13. Puente de Vallecas;;;;;;;;;;;;;;;;;;;;;;
2018;13. Puente de Vallecas;13. Puente de Vallecas;54;2;3.552;109;618;5.838;14.464;6.351;8.984;4.028;1.601;621;4.400;13.528;2.994;4.338;7.520;1.537;2.972;7.371;34;55
2018;13. Puente de Vallecas;131. Entrevías;7;0;465;10;136;964;2.046;942;1.111;409;127;106;476;2.102;339;439;1.015;202;369;1.114;6;13
2018;13. Puente de Vallecas;132. San Diego;14;0;507;8;71;1.114;2.355;1.019;2.029;646;234;111;661;2.465;390;592;1.213;268;546;1.735;5;4
2018;13. Puente de Vallecas;133. Palomeras Bajas;11;0;667;21;111;927;2.596;1.245;1.412;800;357;117;905;2.157;851;1.049;1.526;305;560;1.023;7;11
2018;13. Puente de Vallecas;134. Palomeras Sureste;4;2;778;34;120;1.054;3.054;1.265;1.490;885;356;103;873;2.610;545;883;1.420;288;555;1.017;7;7
2018;13. Puente de Vallecas;135. Portazgo;8;0;435;9;81;686;1.732;696;1.013;392;147;85;475;1.663;293;501;837;161;359;778;3;6
2018;13. Puente de Vallecas;136. Numancia;10;0;700;27;99;1.093;2.681;1.184;1.929;896;380;99;1.010;2.531;574;873;1.509;313;583;1.704;6;14
2018;14. Moratalaz;14. Moratalaz;;;;;;;;;;;;;;;;;;;;;;
2018;14. Moratalaz;14. Moratalaz;21;9;1.339;87;147;1.473;5.032;2.075;2.343;2.746;1.436;316;3.073;3.790;1.785;2.645;3.399;660;926;2.029;31;9
2018;14. Moratalaz;141. Pavones;3;1;129;7;19;128;433;205;230;237;119;22;264;391;226;235;310;67;85;149;3;2
2018;14. Moratalaz;142. Horcajo;1;1;125;8;9;97;395;186;139;258;166;29;284;217;192;248;270;60;80;47;3;0
2018;14. Moratalaz;143. Marroquina;8;3;433;45;31;384;1.539;572;549;913;528;90;1.037;988;559;883;1.018;183;282;446;5;2
2018;14. Moratalaz;144. Media Legua;1;1;235;12;27;268;901;335;381;504;245;63;576;689;309;487;621;116;170;364;4;2
2018;14. Moratalaz;145. Fontarrón;4;2;205;3;28;328;864;420;590;399;166;60;413;798;229;360;596;115;160;559;7;1
2018;14. Moratalaz;146. Vinateros;4;1;212;12;33;268;900;357;454;435;212;52;499;707;270;432;584;119;149;464;9;2
2018;15. Ciudad Lineal;15. Ciudad Lineal;;;;;;;;;;;;;;;;;;;;;;
2018;15. Ciudad Lineal;15. Ciudad Lineal;43;40;3.079;297;258;3.477;11.267;4.462;6.776;7.022;3.654;930;8.657;9.352;3.192;5.451;6.972;1.550;2.379;6.183;84;20
2018;15. Ciudad Lineal;151. Ventas;8;4;605;22;65;891;2.453;1.130;1.951;1.314;576;171;1.429;2.309;672;1.087;1.581;321;529;1.799;16;6
2018;15. Ciudad Lineal;152. Pueblo Nuevo;7;9;946;44;88;1.189;3.578;1.579;2.369;1.745;771;193;1.730;3.176;844;1.416;2.063;419;723;2.190;21;8
2018;15. Ciudad Lineal;153. Quintana;5;1;352;31;27;353;1.356;553;996;796;313;99;842;1.148;349;582;801;209;313;851;6;1
2018;15. Ciudad Lineal;154. Concepción;4;4;283;26;17;299;1.024;366;571;733;371;102;876;839;331;612;665;179;237;592;15;2
2018;15. Ciudad Lineal;155. San Pascual;5;3;266;23;18;263;907;304;390;674;373;84;894;695;315;539;602;118;190;295;9;2
2018;15. Ciudad Lineal;156. San Juan Bautista;6;3;207;33;14;158;571;166;162;577;369;89;860;362;208;376;389;92;125;117;5;1
2018;15. Ciudad Lineal;157. Colina;2;2;81;14;7;68;294;99;91;248;163;35;406;205;100;210;188;50;74;78;7;0
2018;15. Ciudad Lineal;158. Atalaya;0;0;22;6;2;16;58;17;16;66;39;13;99;40;19;42;38;15;21;21;1;0
2018;15. Ciudad Lineal;159. Costillares;6;14;317;98;20;240;1.026;248;230;869;679;144;1.521;578;354;587;645;147;167;240;4;0
2018;16. Hortaleza;16. Hortaleza;;;;;;;;;;;;;;;;;;;;;;
2018;16. Hortaleza;16. Hortaleza;66;59;3.125;456;235;2.958;10.868;4.007;4.038;7.464;4.617;1.036;9.390;6.980;2.672;5.182;5.737;1.283;1.849;2.799;84;17
2018;16. Hortaleza;161. Palomas;5;2;133;24;2;101;471;153;79;264;204;43;411;175;65;159;159;50;52;46;0;1
2018;16. Hortaleza;162. Piovera;4;8;261;46;13;231;833;230;152;514;548;187;1.075;435;197;374;377;104;146;224;7;4
2018;16. Hortaleza;163. Canillas;16;5;679;70;54;596;2.244;893;974;1.460;800;169;1.671;1.475;685;1.177;1.226;281;427;597;16;1
2018;16. Hortaleza;164. Pinar del Rey;20;6;789;71;65;847;3.062;1.256;1.561;1.576;793;208;1.896;2.404;626;1.287;1.636;375;557;1.262;24;6
2018;16. Hortaleza;165. Apóstol Santiago;6;4;225;18;25;238;850;337;435;490;204;42;559;633;265;431;481;127;180;326;7;2
2018;16. Hortaleza;166. Valdefuentes;15;34;1.038;227;76;945;3.408;1.138;837;3.160;2.068;387;3.778;1.858;834;1.754;1.858;346;487;344;30;3
2018;17. Villaverde;17. Villaverde;;;;;;;;;;;;;;;;;;;;;;
2018;17. Villaverde;17. Villaverde;43;3;2.751;68;381;3.768;8.678;3.979;5.151;2.827;1.189;345;2.746;8.067;1.864;2.589;4.750;792;1.585;4.787;32;31
2018;17. Villaverde;171. Villaverde Alto, Casco Histórico de Villaverde;6;1;932;15;148;1.194;2.673;1.137;1.533;729;304;106;766;2.536;486;718;1.463;229;453;1.429;5;10
2018;17. Villaverde;172. San Cristóbal;5;0;181;1;23;472;665;298;747;121;36;27;129;978;94;102;322;68;142;722;7;5
2018;17. Villaverde;173. Butarque;8;1;430;13;55;529;1.320;652;634;600;235;57;485;1.058;326;425;645;99;245;435;5;3
2018;17. Villaverde;174. Los Rosales;16;1;693;29;89;957;2.293;1.119;1.321;809;351;88;777;2.008;603;769;1.300;222;415;1.328;6;8
2018;17. Villaverde;175. Ángeles;8;0;515;10;66;616;1.727;773;916;568;263;67;589;1.487;355;575;1.020;174;330;873;9;5
2018;18. Villa de Vallecas;18. Villa de Vallecas;;;;;;;;;;;;;;;;;;;;;;
2018;18. Villa de Vallecas;18. Villa de Vallecas;35;14;2.355;93;380;2.642;7.684;3.263;3.006;3.493;1.796;443;3.458;5.851;1.901;2.817;4.158;795;1.458;2.002;18;27
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;10;2;715;14;194;1.060;2.608;1.075;1.322;656;258;132;698;2.341;438;640;1.257;216;501;1.015;8;15
2018;18. Villa de Vallecas;182. Santa Eugenia;13;2;469;19;51;544;1.565;634;607;711;396;93;770;1.065;424;673;903;216;303;574;4;6
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;12;10;1.171;60;135;1.038;3.511;1.554;1.077;2.126;1.142;218;1.990;2.445;1.039;1.504;1.998;363;654;413;6;6
2018;19. Vicálvaro;19. Vicálvaro;;;;;;;;;;;;;;;;;;;;;;
2018;19. Vicálvaro;19. Vicálvaro;25;3;1.486;65;188;1.673;4.621;2.277;1.845;2.180;1.022;208;2.192;3.405;1.435;1.751;2.431;464;859;1.486;11;15
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;15;1;626;16;78;985;2.181;977;1.110;570;235;72;641;1.897;312;532;919;189;386;1.156;2;9
2018;19. Vicálvaro;192. Valdebernardo;4;0;345;11;45;273;1.061;589;396;628;311;50;633;692;617;607;775;154;229;220;4;5
2018;19. Vicálvaro;193. Valderribas;6;2;487;36;62;391;1.314;671;327;942;462;84;898;771;486;591;715;118;232;99;4;1
2018;19. Vicálvaro;194. El Cañaveral;0;0;28;2;3;24;65;40;12;40;14;2;20;45;20;21;22;3;12;11;1;0
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;;;;;;;;;;;;;;;;;;;;;;
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;29;15;3.329;179;270;2.915;9.876;4.873;4.576;5.363;2.439;562;5.405;7.929;2.469;3.615;4.803;1.105;1.723;3.158;43;16
2018;20. San Blas-Canillejas;201. Simancas;7;3;539;35;35;493;1.704;720;949;973;419;89;948;1.559;329;547;791;189;316;819;6;1
2018;20. San Blas-Canillejas;202. Hellín;1;0;169;2;18;159;534;312;319;156;55;23;167;588;99;158;257;63;97;209;0;3
2018;20. San Blas-Canillejas;203. Amposta;1;0;122;4;8;198;487;229;347;122;55;23;120;575;80;90;232;53;74;249;2;0
2018;20. San Blas-Canillejas;204. Arcos;9;0;488;14;59;503;1.587;729;823;629;275;70;653;1.424;307;494;757;161;316;495;7;3
2018;20. San Blas-Canillejas;205. Rosas;1;5;788;56;59;509;1.999;1.090;586;1.445;768;130;1.348;1.250;849;1.016;1.152;230;371;303;6;4
2018;20. San Blas-Canillejas;206. Rejas;0;0;414;32;31;297;1.183;638;419;819;355;74;801;713;194;414;432;123;150;211;8;1
2018;20. San Blas-Canillejas;207. Canillejas;7;2;603;24;49;594;1.721;888;929;718;277;89;786;1.452;381;557;805;171;301;768;7;3
2018;20. San Blas-Canillejas;208. El Salvador;3;5;206;12;11;162;661;267;204;501;235;64;582;368;230;339;377;115;98;104;7;1
2018;21. Barajas;21. Barajas;;;;;;;;;;;;;;;;;;;;;;
2018;21. Barajas;21. Barajas;17;10;921;107;49;625;2.810;2.337;1.356;1.886;1.026;206;2.097;2.045;557;1.283;1.259;316;422;508;10;3
2018;21. Barajas;211. Alameda de Osuna;6;6;339;42;13;172;983;677;283;860;447;77;914;602;254;595;492;133;156;125;5;0
2018;21. Barajas;212. Aeropuerto;0;0;26;1;4;30;105;77;75;26;16;5;20;123;7;20;32;7;20;78;0;0
2018;21. Barajas;213. Casco Histórico de Barajas;3;0;135;3;7;121;451;527;467;133;62;17;174;475;36;119;157;39;81;143;1;0
2018;21. Barajas;214. Timón;5;2;257;24;19;190;788;709;439;474;257;53;527;617;143;342;392;88;104;113;2;2
2018;21. Barajas;215. Corralejos;3;2;164;37;6;112;483;347;92;393;244;54;462;228;117;207;186;49;61;49;2;1
2019;01. Centro;01. Centro;;;;;;;;;;;;;;;;;;;;;;
2019;01. Centro;01. Centro;48;31;1.487;91;101;1.414;7.482;1.579;6.424;6.175;2.153;899;7.937;4.904;2.101;5.591;4.154;2.536;2.117;1.947;104;32
2019;01. Centro;011. Palacio;4;5;258;14;18;252;1.124;289;826;1.111;374;158;1.335;797;436;957;695;478;397;282;22;9
2019;01. Centro;012. Embajadores;10;9;483;21;47;505;2.696;592;2.442;1.955;513;204;2.269;1.797;671;2.050;1.479;899;663;639;33;10
2019;01. Centro;013. Cortes;6;6;124;10;5;118;538;105;520;463;187;82;648;356;164;431;285;201;160;121;15;4
2019;01. Centro;014. Justicia;10;6;187;19;4;173;1.037;157;694;748;400;170;1.220;579;242;529;470;275;264;287;13;4
2019;01. Centro;015. Universidad;15;3;350;21;25;297;1.696;367;1.477;1.611;573;214;2.096;1.156;498;1.301;1.044;534;538;533;19;4
2019;01. Centro;016. Sol;3;2;85;6;2;69;391;69;465;287;106;71;369;219;90;323;181;148;95;85;2;1
2019;02. Arganzuela;02. Arganzuela;;;;;;;;;;;;;;;;;;;;;;
2019;02. Arganzuela;02. Arganzuela;50;72;2.691;271;195;2.017;8.012;2.521;3.939;7.074;3.370;743;7.947;5.094;3.760;6.155;6.672;1.654;1.759;2.104;58;21
2019;02. Arganzuela;021. Imperial;8;0;367;39;33;259;1.106;358;491;1.087;524;107;1.178;687;660;944;933;260;247;188;14;2
2019;02. Arganzuela;022. Acacias;12;5;600;78;46;413;1.814;534;751;1.643;812;160;1.985;1.019;985;1.546;1.646;392;401;317;12;4
2019;02. Arganzuela;023. Chopera;5;2;292;29;27;336;1.006;350;654;755;260;98;835;818;369;711;828;224;263;488;6;2
2019;02. Arganzuela;024. Legazpi;5;19;482;49;36;300;1.275;345;409;1.167;684;108;1.241;611;557;763;988;202;209;124;4;3
2019;02. Arganzuela;025. Delicias;6;25;532;42;29;378;1.506;473;740;1.323;651;128;1.382;915;605;1.106;1.164;299;312;445;10;3
2019;02. Arganzuela;026. Palos de Moguer;14;20;398;33;24;311;1.248;439;874;1.053;422;137;1.280;994;506;1.036;1.067;268;314;534;11;6
2019;02. Arganzuela;027. Atocha;0;1;20;1;0;20;56;22;20;46;17;5;46;50;78;49;46;9;13;8;1;1
2019;03. Retiro;03. Retiro;;;;;;;;;;;;;;;;;;;;;;
2019;03. Retiro;03. Retiro;52;43;1.715;211;138;1.295;5.441;1.573;1.843;4.563;3.021;758;7.033;3.248;2.377;4.300;4.696;987;1.140;1.778;40;15
2019;03. Retiro;031. Pacífico;10;10;490;46;38;365;1.593;500;629;1.367;739;177;1.866;992;734;1.270;1.409;277;356;519;8;6
2019;03. Retiro;032. Adelfas;4;10;350;46;31;229;983;316;306;851;513;77;1.037;563;443;654;804;156;174;200;4;2
2019;03. Retiro;033. Estrella;10;6;344;41;21;251;945;282;238;847;630;121;1.318;568;448;858;939;168;183;218;7;1
2019;03. Retiro;034. Ibiza;8;7;273;41;27;217;986;264;444;782;533;179;1.333;576;356;748;791;190;228;418;10;1
2019;03. Retiro;035. Los Jerónimos;10;6;67;11;8;63;245;56;75;182;182;74;454;176;144;216;168;67;69;164;2;2
2019;03. Retiro;036. Niño Jesús;10;4;191;26;13;170;689;155;151;534;424;130;1.025;373;252;554;585;129;130;259;9;3
2019;04. Salamanca;04. Salamanca;;;;;;;;;;;;;;;;;;;;;;
2019;04. Salamanca;04. Salamanca;93;42;1.829;259;130;1.468;6.903;1.576;2.540;5.317;4.141;1.224;9.985;4.110;2.183;4.380;4.661;1.127;1.610;3.314;68;19
2019;04. Salamanca;041. Recoletos;15;5;158;29;5;139;666;91;178;419;485;240;1.189;383;153;326;305;101;199;478;2;7
